CNTYVTD,VTDKEY,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
1131312,2146,207,255,6
1131313,2147,27,151,1
1131314,2148,322,750,4
1131315,2149,8,11,0
1131316,2150,76,264,1
1131323,2151,0,0,0
1131324,2152,749,846,13
1131325,2153,786,795,13
1131326,2154,370,460,7
1131327,2155,418,965,16
1131328,2156,4,5,0
1131329,2157,3,4,0
1131401,2158,36,101,1
1131402,2159,259,691,9
1131403,2160,14,3,0
1131404,2161,54,260,0
1131405,2162,43,136,1
1131406,2163,65,157,1
1131407,2164,1,1,0
1131408,2165,1,1,0
1131409,2166,82,197,5
1131410,2167,206,670,4
1131411,2168,378,1007,10
1131412,2169,85,94,1
1131700,2170,340,674,8
1131701,2171,401,575,10
1131702,2172,516,902,11
1131703,2173,425,922,18
1131704,2174,245,469,7
1131705,2175,385,662,8
1131706,2176,427,929,12
1131707,2177,46,161,2
1131708,2178,115,197,5
1131709,2179,348,1358,8
1131710,2180,66,619,1
1131711,2181,312,697,6
1131712,2182,578,592,5
1131713,2183,298,277,5
1131714,2184,437,578,6
1131715,2185,175,547,4
1131716,2186,826,566,17
1131717,2187,638,1087,16
1131718,2188,447,425,8
1131719,2189,469,903,6
1131720,2190,631,923,16
1131721,2191,615,671,13
1131722,2192,456,984,15
1131723,2193,23,61,2
1131724,2194,11,42,0
1131725,2195,207,126,2
1131726,2196,439,586,5
1131727,2197,41,74,4
1131728,2198,307,419,3
1131729,2199,221,515,4
1131730,2200,0,0,0
1131731,2201,0,0,0
1131732,2202,245,380,3
1131733,2203,758,1040,24
1131734,2204,421,367,6
1131735,2205,1291,1349,22
1131736,2206,791,432,10
1131737,2207,2020,1289,15
1131738,2208,561,783,3
1131739,2209,678,952,22
1131740,2210,823,1402,19
1131741,2211,1080,1524,12
1131742,2212,799,1457,21
1131743,2213,921,1335,19
1131744,2214,19,12,3
1131745,2215,619,788,10
1131746,2216,310,563,7
1131747,2217,619,801,8
1131748,2218,355,756,14
1131749,2219,616,1170,13
1131750,2220,784,820,13
1131751,2221,1258,1338,14
1131752,2222,767,1170,13
1132000,2223,1,0,0
1132001,2224,3,11,0
1132002,2225,344,509,9
1132003,2226,963,1021,11
1132004,2227,680,602,7
1132005,2228,303,416,5
1132006,2229,566,545,12
1132007,2230,1220,993,13
1132008,2231,632,504,6
1132009,2232,632,838,21
1132010,2233,490,541,12
1132011,2234,776,707,10
1132015,2235,327,386,7
1132016,2236,1319,981,14
1132017,2237,274,629,11
1132018,2238,345,299,4
1132019,2239,653,630,11
1132020,2240,712,1097,14
1132021,2241,1554,1125,15
1132022,2242,266,272,6
1132023,2243,436,470,5
1132024,2244,476,582,8
1132025,2245,1104,798,15
1132026,2246,1362,831,10
1132027,2247,745,452,11
1132028,2248,0,0,0
1132030,2249,1015,405,8
1132031,2250,735,1502,21
1132032,2251,348,782,21
1132033,2252,541,813,7
1132035,2253,367,658,5
1132037,2254,277,392,8
1132038,2255,841,1441,22
1132039,2256,673,1277,22
1132040,2257,522,729,16
1132041,2258,1617,1308,21
1132042,2259,918,1255,10
1132043,2260,669,911,13
1132044,2261,332,375,5
1132045,2262,553,810,11
1132046,2263,706,632,8
1132047,2264,805,857,24
1132048,2265,821,1417,14
1132049,2266,498,616,11
1132050,2267,511,603,19
1132051,2268,866,892,23
1132052,2269,635,400,5
1132053,2270,350,969,9
1132054,2271,335,1048,6
1132055,2272,187,492,7
1132056,2273,533,423,4
1132057,2274,208,172,1
1132058,2275,334,429,9
1132074,2276,71,192,4
1132076,2277,0,0,0
1132077,2278,433,464,6
1132079,2279,174,744,15
1132080,2280,34,89,1
1132081,2281,18,231,0
1132082,2282,250,1240,8
1132083,2283,260,722,11
1132084,2284,22,163,2
1132085,2285,41,129,2
1132086,2286,458,1397,18
1132087,2287,460,1350,16
1132090,2288,13,18,0
1132091,2289,235,295,5
1132092,2290,0,0,0
1132094,2291,113,307,3
1132095,2292,0,0,0
1132096,2293,0,0,0
1132097,2294,0,0,0
1132098,2295,347,775,7
1132099,2296,558,1958,16
113208,2297,0,0,0
1132100,2298,336,1581,10
1132101,2299,317,634,8
1132102,2300,827,1673,33
1132103,2301,84,455,5
1132104,2302,98,123,3
1132105,2303,366,1186,24
1132106,2304,104,766,7
1132107,2305,5,31,0
1132108,2306,189,262,6
1132109,2307,0,0,0
1132110,2308,23,215,0
1132111,2309,2,11,1
1132112,2310,16,77,0
1132113,2311,1,7,0
1132114,2312,785,1036,7
1132115,2313,76,110,2
1132116,2314,41,60,2
1132117,2315,101,623,3
1132118,2316,37,527,4
1132119,2317,125,156,6
1132120,2318,376,794,10
1132121,2319,28,405,0
1132122,2320,253,566,2
1132123,2321,138,623,3
1132124,2322,122,743,8
1132125,2323,147,1596,11
1132126,2324,88,274,5
1132127,2325,493,1349,18
1132128,2326,521,1074,11
1132129,2327,48,224,3
1132130,2328,152,457,3
1132131,2329,167,757,6
1132132,2330,100,356,5
1132133,2331,101,74,1
1132134,2332,115,318,4
1132137,2333,80,464,5
1132138,2334,50,262,4
1132139,2335,39,248,1
1132140,2336,56,305,2
1132141,2337,63,298,8
1132142,2338,77,389,4
1132143,2339,92,120,4
1132144,2340,250,515,14
1132145,2341,403,1163,11
1132146,2342,272,959,13
1132147,2343,502,903,13
1132148,2344,67,334,7
1132149,2345,225,861,14
1132150,2346,84,595,1
1132151,2347,51,120,2
1132152,2348,138,590,4
1132153,2349,152,560,5
1132154,2350,5,14,0
1132155,2351,398,1043,14
1132200,2352,931,463,7
1132201,2353,825,466,12
1132202,2354,927,482,10
1132203,2355,702,436,16
1132220,2356,947,355,8
1132221,2357,1754,781,16
1132222,2358,1451,678,19
1132223,2359,670,491,13
1132224,2360,518,700,10
1132225,2361,786,438,2
1132226,2362,1233,721,16
1132300,2363,252,549,5
1132301,2364,906,723,12
1132302,2365,190,706,8
1132303,2366,617,888,17
1132305,2367,566,732,21
1132306,2368,387,475,8
1132307,2369,187,256,4
1132308,2370,51,128,0
1132309,2371,154,350,6
1132310,2372,716,691,18
1132311,2373,65,151,1
1132312,2374,5,25,0
1132313,2375,0,0,0
1132315,2376,56,72,2
1132316,2377,347,442,8
1132400,2378,68,23,0
1132401,2379,1029,1151,19
1132402,2380,815,1070,15
1132403,2381,2,0,0
1132404,2382,380,695,6
1132405,2383,1041,1021,22
1132406,2384,721,1203,13
1132407,2385,817,1341,15
1132408,2386,264,536,8
1132409,2387,317,868,10
1132410,2388,321,616,5
1132411,2389,82,278,4
1132412,2390,1,2,0
1132417,2391,106,104,2
1132500,2392,295,504,8
1132501,2393,530,486,13
1132502,2394,850,543,7
1132503,2395,1113,866,13
1132504,2396,428,449,12
1132505,2397,563,807,19
1132506,2398,764,780,17
1132507,2399,768,763,25
1132508,2400,581,1173,25
1132509,2401,1025,987,23
1132510,2402,469,616,10
1132511,2403,598,687,9
1132512,2404,455,505,10
1132513,2405,660,1037,17
1132514,2406,770,923,21
1132515,2407,173,259,2
1132517,2408,323,1024,7
1132518,2409,589,774,9
1132519,2410,403,908,12
1132520,2411,657,1438,27
1132521,2412,550,894,14
1132523,2413,338,588,12
1132601,2414,304,808,14
1132602,2415,466,1194,9
1132603,2416,529,1313,13
1132604,2417,470,1174,15
1132605,2418,372,1106,3
1132606,2419,381,687,8
1132607,2420,0,6,0
1132608,2421,699,879,18
1132609,2422,0,0,0
1132610,2423,0,0,0
1132611,2424,208,618,4
1132612,2425,272,337,10
1132613,2426,627,1383,14
1132614,2427,3,2,0
1132800,2428,0,0,0
1132801,2429,1239,1022,31
1132802,2430,1516,1367,30
1132803,2431,593,364,10
1132804,2432,853,732,17
1132805,2433,1364,1376,15
1132806,2434,857,791,20
1132807,2435,756,784,17
1132808,2436,1004,941,10
1132809,2437,737,989,17
1132810,2438,12,3,0
1132900,2439,988,960,17
1132901,2440,188,545,12
1132902,2441,357,798,5
1132903,2442,472,832,17
1132904,2443,2,1,0
1132905,2444,215,133,2
1132910,2445,14,11,0
1132911,2446,64,76,2
1132913,2447,2,3,0
113291,2448,17,53,0
1133000,2449,767,1420,20
1133001,2450,15,172,1
1133002,2451,34,369,0
1133003,2452,97,927,1
1133004,2453,189,1060,8
1133005,2454,76,192,3
1133006,2455,934,1227,13
1133007,2456,324,437,8
1133008,2457,132,437,4
1133009,2458,0,0,0
1133010,2459,22,225,0
1133011,2460,184,542,8
1133012,2461,14,48,0
1133013,2462,65,230,2
1133014,2463,267,522,4
1133015,2464,41,65,1
1133016,2465,133,746,5
1133017,2466,13,291,0
1133018,2467,28,685,3
1133019,2468,9,261,1
1133020,2469,13,110,2
1133021,2470,9,323,0
1133022,2471,19,539,5
1133023,2472,13,503,1
1133024,2473,22,532,1
1133025,2474,2,52,1
1133026,2475,10,280,0
1133027,2476,15,507,4
1133028,2477,9,415,4
1133029,2478,12,296,3
1133030,2479,3,6,0
1133031,2480,63,200,4
1133032,2481,38,486,3
1133033,2482,7,133,0
1133034,2483,22,550,3
1133035,2484,29,496,5
1133036,2485,4,3,0
1133037,2486,10,161,3
1133038,2487,6,399,0
1133039,2488,35,932,6
1133040,2489,16,426,1
1133041,2490,0,42,0
1133042,2491,14,544,3
1133043,2492,12,721,3
1133044,2493,23,887,2
1133045,2494,10,250,3
1133046,2495,139,1069,9
1133047,2496,222,532,7
1133048,2497,34,1106,5
1133049,2498,34,817,6
1133050,2499,39,670,5
1133051,2500,12,319,1
1133052,2501,33,912,7
1133053,2502,63,919,3
1133054,2503,70,1425,11
1133055,2504,105,1342,8
1133056,2505,70,1320,12
1133057,2506,84,1165,7
1133058,2507,26,1058,5
1133059,2508,15,674,2
1133060,2509,19,716,5
1133061,2510,12,542,1
1133062,2511,39,915,2
1133063,2512,83,1572,7
1133064,2513,33,1263,4
1133065,2514,42,1011,5
1133066,2515,36,803,8
1133067,2516,37,895,3
1133068,2517,78,1633,6
1133069,2518,28,705,7
1133070,2519,48,1306,8
1133071,2520,38,1088,9
1133072,2521,4,17,0
1133073,2522,4,66,0
1133074,2523,33,238,1
1133075,2524,9,73,2
1133076,2525,0,0,0
1133077,2526,352,1503,17
1133078,2527,173,1102,15
1133079,2528,79,168,3
1133080,2529,154,379,6
1133081,2530,365,640,7
1133082,2531,73,934,2
1133083,2532,116,347,4
1133084,2533,93,622,5
1133085,2534,44,128,2
1133086,2535,720,1376,22
1133087,2536,0,0,0
1133088,2537,8,26,0
1133089,2538,6,10,0
1133090,2539,171,701,11
1133091,2540,0,0,0
1133092,2541,34,657,4
1133093,2542,0,9,0
1133094,2543,0,0,0
1133095,2544,273,899,12
1133096,2545,313,1019,11
1133097,2546,0,78,1
1133098,2547,1,104,0
1133099,2548,7,120,1
113304,2549,0,0,0
113306,2550,0,0,0
113304,2551,0,0,0
113304,2552,0,2,0
113306,2553,0,0,0
1133100,2554,305,1050,4
1133101,2555,124,360,7
1133102,2556,222,1248,10
1133103,2557,277,1533,8
1133104,2558,310,1242,5
1133105,2559,413,1090,7
1133106,2560,295,1676,12
1133107,2561,183,1295,5
1133108,2562,636,779,13
1133109,2563,978,1277,14
1133110,2564,239,1508,4
1133111,2565,5,21,0
1133112,2566,4,12,0
1133113,2567,0,5,0
1133114,2568,0,0,0
1133115,2569,257,1060,7
1133116,2570,0,5,0
1133117,2571,8,39,0
1133119,2572,0,0,0
113314,2573,0,0,0
113315,2574,0,0,0
1133200,2575,663,797,10
1133201,2576,474,589,8
1133202,2577,296,994,4
1133203,2578,344,876,10
1133204,2579,465,904,13
1133205,2580,94,886,1
1133206,2581,682,859,6
1133207,2582,585,927,12
1133208,2583,307,670,6
1133209,2584,62,59,3
1133210,2585,455,705,10
1133211,2586,149,457,6
113320,2587,0,0,0
113321,2588,0,0,0
113321,2589,0,0,0
113320,2590,0,0,0
113321,2591,0,0,0
1133304,2592,695,830,16
1133305,2593,955,1275,9
1133306,2594,292,475,9
1133307,2595,306,599,6
1133308,2596,353,593,7
1133309,2597,509,691,7
1133310,2598,603,680,6
1133311,2599,577,614,9
1133312,2600,738,1135,10
1133313,2601,551,1284,14
1133314,2602,558,1377,11
1133315,2603,235,452,2
1133316,2604,623,905,5
1133317,2605,273,677,3
1133318,2606,328,579,1
1133319,2607,12,29,0
1133321,2608,0,0,0
1133325,2609,323,765,8
1133327,2610,0,1,0
1133328,2611,7,10,0
1133500,2612,1326,742,12
1133501,2613,5,1,0
1133503,2614,490,273,4
1133504,2615,244,137,2
1133600,2616,232,1047,6
1133601,2617,272,1106,4
1133602,2618,75,358,2
1133603,2619,53,147,1
1133604,2620,327,1367,9
1133605,2621,199,1133,4
1133606,2622,143,1306,4
1133607,2623,285,2366,8
1133608,2624,104,1740,4
1133609,2625,299,1619,5
1133610,2626,96,224,3
1133611,2627,191,485,4
1133612,2628,242,1679,9
1133613,2629,105,276,1
1133614,2630,54,436,3
1133615,2631,149,1316,2
1133616,2632,44,320,2
1133617,2633,86,1340,1
1133618,2634,22,212,0
1133619,2635,27,75,0
1133620,2636,77,611,0
1133621,2637,60,332,1
1133701,2638,2,0,0
1133702,2639,0,0,0
1133800,2640,120,2308,17
1133801,2641,26,147,0
1133802,2642,210,1944,8
1133803,2643,144,1789,7
1133805,2644,152,2507,13
1133806,2645,27,500,2
1133807,2646,171,1148,8
1133808,2647,676,1531,9
1133809,2648,40,147,2
1133900,2649,227,1401,11
1133920,2650,686,512,10
1133921,2651,944,1115,21
1133922,2652,4,35,0
1133940,2653,273,663,9
1133950,2654,194,698,5
1133951,2655,197,1173,9
1133952,2656,10,61,1
1133960,2657,1004,922,14
1133961,2658,659,724,8
1133962,2659,1348,1221,14
1133963,2660,743,676,11
1133964,2661,573,610,9
1133965,2662,846,918,20
1133966,2663,969,1084,21
1133967,2664,407,370,7
1133968,2665,1043,1008,18
1133969,2666,1253,666,11
1133970,2667,1263,788,9
1133971,2668,598,580,11
1133980,2669,1112,871,18
1133981,2670,668,312,8
1133982,2671,1051,749,14
1133983,2672,638,452,11
1133984,2673,438,338,6
1134000,2674,48,160,0
1134001,2675,107,498,1
1134002,2676,244,420,5
1134003,2677,12,113,1
1134004,2678,213,698,8
1134005,2679,161,355,3
1134006,2680,242,547,8
1134007,2681,54,79,1
1134008,2682,26,204,2
1134009,2683,73,647,5
1134010,2684,283,568,7
1134011,2685,82,354,0
1134012,2686,17,32,0
1134013,2687,104,131,2
1134014,2688,660,694,13
1134015,2689,161,783,5
1134016,2690,181,846,5
1134017,2691,73,223,1
1134018,2692,264,510,2
1134019,2693,191,1171,5
1134020,2694,87,430,2
1134021,2695,196,1270,10
1134022,2696,97,653,4
1134023,2697,1,0,0
1134024,2698,84,747,6
1134025,2699,7,128,1
1134026,2700,5,63,0
1134027,2701,17,112,0
1134028,2702,17,370,0
1134029,2703,1,3,0
1134030,2704,1,27,0
1134031,2705,53,795,2
1134033,2706,232,973,12
1134035,2707,77,544,9
1134036,2708,28,334,2
1134037,2709,10,82,1
1134038,2710,69,940,3
1134039,2711,9,230,0
1134040,2712,10,302,1
1134041,2713,11,240,3
1134043,2714,49,561,4
1134044,2715,20,437,1
1134046,2716,27,469,0
1134047,2717,15,341,2
1134048,2718,10,2,1
1134049,2719,0,0,0
1134050,2720,502,1873,18
1134051,2721,0,0,0
1134052,2722,417,1497,18
1134053,2723,39,176,0
1134054,2724,20,191,0
1134055,2725,202,952,6
1134056,2726,120,1037,6
1134057,2727,98,669,9
1134058,2728,56,421,2
1134059,2729,24,158,3
1134060,2730,120,836,2
1134061,2731,147,898,4
1134062,2732,111,691,8
1134063,2733,214,1307,8
1134065,2734,56,262,5
1134066,2735,76,358,2
1134067,2736,129,806,7
1134068,2737,120,767,9
1134069,2738,201,1249,7
1134070,2739,75,633,7
1134071,2740,13,165,2
1134072,2741,12,103,1
1134073,2742,144,740,7
1134074,2743,246,1402,11
1134075,2744,59,402,3
1134076,2745,187,1018,9
1134077,2746,77,545,4
1134078,2747,101,754,5
1134079,2748,577,1991,12
1134080,2749,173,348,5
1134081,2750,163,1170,4
1134082,2751,33,383,1
1134083,2752,82,549,5
1134084,2753,21,238,0
1134085,2754,55,389,1
1134086,2755,149,1008,3
1134087,2756,51,329,0
1134088,2757,11,149,0
1134090,2758,13,19,1
1134091,2759,0,0,0
1134092,2760,28,72,1
1134093,2761,0,30,1
1134094,2762,76,217,3
1134095,2763,9,19,0
1134096,2764,3,2,0
1134097,2765,134,420,3
1134098,2766,12,25,0
1134099,2767,372,340,5
113402,2768,0,0,0
113403,2769,0,0,0
1134100,2770,3,12,0
1134101,2771,2,36,0
1134107,2772,0,26,0
1134108,2773,0,23,0
1134109,2774,1,18,0
1134110,2775,14,390,0
1134111,2776,28,105,0
1134112,2777,39,26,1
1134113,2778,122,780,7
1134114,2779,84,649,6
1134115,2780,68,172,2
1134116,2781,0,0,0
1134117,2782,3,11,0
1134118,2783,1,6,0
1134119,2784,1,1,0
1134120,2785,21,219,0
1134122,2786,0,0,0
1134125,2787,0,0,0
1134126,2788,606,552,9
1134127,2789,244,140,2
1134128,2790,507,392,11
1134129,2791,785,470,8
1134130,2792,584,639,9
1134131,2793,140,921,7
1134135,2794,95,678,2
1134141,2795,20,73,0
1134143,2796,5,63,0
1134145,2797,0,0,0
1134147,2798,2,11,0
1134149,2799,7,30,0
1134152,2800,0,0,0
1134153,2801,38,134,1
1134157,2802,20,105,1
1134161,2803,93,326,2
1134166,2804,0,0,0
113411,2805,0,0,0
1134300,2806,130,561,2
1134500,2807,452,824,7
1134501,2808,490,744,9
1134502,2809,647,1301,11
1134503,2810,560,1643,16
1134504,2811,262,457,13
1134505,2812,389,644,9
1134506,2813,271,408,3
1134507,2814,44,424,1
1134508,2815,86,189,3
1134509,2816,379,370,6
1134510,2817,299,619,2
1134511,2818,303,486,7
1134512,2819,273,295,8
1134513,2820,321,727,10
1134514,2821,322,352,8
1134515,2822,204,649,2
1134516,2823,3,9,0
1134517,2824,1006,865,15
1134518,2825,347,569,7
1134519,2826,744,1188,8
1134520,2827,109,321,2
1134521,2828,977,1326,20
1134522,2829,608,1220,15
1134523,2830,117,215,1
1134525,2831,207,461,7
1134527,2832,173,515,5
1134528,2833,0,0,0
1134529,2834,165,269,3
1134530,2835,10,92,0
1134531,2836,162,136,2
1134532,2837,63,97,0
1134533,2838,150,380,2
1134534,2839,6,38,0
1134535,2840,94,269,1
1134536,2841,8,18,0
1134537,2842,2,3,0
1134538,2843,108,288,7
1134539,2844,0,0,0
1134541,2845,0,0,0
1134542,2846,0,0,0
1134554,2847,11,11,0
1134555,2848,6,7,0
1134557,2849,0,0,0
1134558,2850,0,0,0
1134559,2851,0,0,0
1134600,2852,588,675,10
1134601,2853,970,1074,20
1134602,2854,451,615,2
1134603,2855,7,17,0
1134604,2856,612,859,10
1134605,2857,533,703,14
1134606,2858,586,872,15
1134607,2859,251,541,7
1134608,2860,548,1116,15
1134609,2861,179,676,4
1134610,2862,611,643,10
1134611,2863,352,490,4
1134612,2864,95,92,1
1134613,2865,74,252,0
1134614,2866,199,112,5
1134615,2867,30,84,1
1134616,2868,195,365,6
1134617,2869,48,56,1
1134618,2870,109,157,3
1134619,2871,420,364,5
1134620,2872,399,496,12
1134621,2873,367,1492,9
1134622,2874,390,682,9
1134623,2875,436,819,5
1134624,2876,417,503,6
1134625,2877,616,656,4
1134626,2878,830,792,12
1134627,2879,730,1239,20
1134628,2880,160,713,5
1134629,2881,192,441,4
1134630,2882,439,479,0
1134631,2883,355,406,3
1134632,2884,232,707,2
1134633,2885,114,301,4
1134634,2886,777,1029,13
1134639,2887,82,220,2
1134640,2888,337,965,10
1134641,2889,119,172,1
1134642,2890,31,44,0
1134644,2891,0,2,0
1134646,2892,108,121,2
1134648,2893,210,708,10
1134649,2894,7,39,0
1134651,2895,4,17,1
1134652,2896,93,248,1
1134653,2897,8,15,0
1134654,2898,192,349,3
1134655,2899,34,5,0
1134656,2900,10,45,2
1134657,2901,5,32,1
1134658,2902,15,24,1
1134659,2903,36,97,2
1134660,2904,9,16,0
1134661,2905,95,314,0
1134662,2906,46,102,0
1134663,2907,0,0,0
1134664,2908,183,311,4
1134665,2909,0,0,0
1134667,2910,0,0,0
1134673,2911,0,0,0
1134674,2912,0,0,0
1134675,2913,14,37,1
1134677,2914,25,107,1
1134678,2915,6,24,0
1150001,2916,370,164,2
1150002,2917,424,213,1
1150003,2918,608,202,3
1150004,2919,533,183,3
1150005,2920,69,20,0
1150011,2921,68,13,0
1150012,2922,27,3,2
1150013,2923,52,6,1
1150017,2924,41,7,0
1170001,2925,502,220,4
1170002,2926,419,259,6
1170003,2927,1282,319,9
1170004,2928,477,269,9
1190001,2929,371,61,5
1190003,2930,130,55,1
1190004,2931,265,60,2
1190005,2932,357,80,4
1190007,2933,124,21,0
1190009,2934,150,18,0
1190010,2935,165,59,4
1211000,2936,1413,312,14
1211001,2937,596,177,6
1211002,2938,85,27,0
1211003,2939,573,202,9
1211004,2940,1284,445,13
1211005,2941,0,0,0
1211006,2942,0,1,0
1211007,2943,626,203,13
1211008,2944,1533,412,11
1211009,2945,84,11,0
1211010,2946,1487,441,17
1211011,2947,778,172,9
1211012,2948,184,140,3
1211013,2949,579,445,9
1211014,2950,68,82,2
1211015,2951,92,43,1
1211016,2952,631,584,10
1211017,2953,514,488,8
1211018,2954,37,59,2
1211019,2955,790,612,14
1211020,2956,805,556,4
1211021,2957,1004,696,11
1211022,2958,822,734,9
1211023,2959,638,552,8
1211024,2960,1283,1071,21
1211025,2961,431,390,7
1211026,2962,1129,634,11
1211027,2963,577,308,4
1211028,2964,202,101,2
1211029,2965,51,26,0
1211030,2966,4,3,0
1211031,2967,841,1005,13
1211032,2968,1629,1121,19
1211033,2969,1043,661,13
1211034,2970,206,235,2
1211035,2971,802,997,11
1211036,2972,1108,1086,14
1211037,2973,359,352,2
1211038,2974,245,339,5
1211039,2975,127,171,1
1211040,2976,198,270,3
1211041,2977,978,1136,18
1211042,2978,697,715,11
1211044,2979,465,249,6
1211045,2980,1035,565,19
1211046,2981,334,121,5
1211047,2982,984,1575,15
1211048,2983,391,612,7
1211049,2984,1136,1001,20
1211050,2985,55,61,1
1211051,2986,67,80,2
1211052,2987,307,372,4
1211053,2988,0,0,0
1211054,2989,611,469,8
1211055,2990,278,231,5
1211056,2991,339,285,6
1211057,2992,155,186,3
1211058,2993,519,620,11
1211059,2994,710,899,13
1211060,2995,347,466,7
1211061,2996,624,1017,16
1211062,2997,501,1033,12
1211063,2998,520,443,15
1211064,2999,849,1041,14
1211065,3000,283,289,5
1211066,3001,53,56,1
1211172,3002,1021,532,7
1211224,3003,112,131,3
1211225,3004,112,129,1
1212067,3005,464,455,8
1212068,3006,1113,937,27
1212069,3007,724,701,12
1212070,3008,4,0,0
1212071,3009,1811,965,19
1212072,3010,1196,805,16
1212073,3011,1369,775,32
1212074,3012,1026,402,12
1212075,3013,220,137,6
1212076,3014,647,793,16
1212077,3015,693,874,8
1212078,3016,380,440,3
1212079,3017,846,621,10
1212080,3018,808,699,8
1212081,3019,627,729,12
1212082,3020,191,236,3
1212083,3021,491,329,3
1212084,3022,985,822,24
1212085,3023,1244,919,22
1212086,3024,1014,722,15
1212087,3025,1045,1116,19
1212088,3026,603,593,16
1212089,3027,1196,791,13
1212090,3028,1007,1164,24
1212091,3029,1788,1066,16
1212092,3030,517,868,13
1212093,3031,46,83,0
1212094,3032,415,814,7
1212095,3033,938,701,12
1212096,3034,1203,942,13
1212097,3035,1070,1158,19
1212098,3036,64,110,2
1212099,3037,1006,674,23
1212100,3038,451,1338,19
1212101,3039,433,1344,16
1212102,3040,753,1666,20
1212103,3041,456,713,15
1212104,3042,850,1014,26
1212105,3043,716,671,13
1212106,3044,990,1149,19
1212107,3045,1275,1099,24
1212108,3046,567,585,20
1212109,3047,768,1259,12
1212110,3048,734,783,19
1212111,3049,969,1355,16
1212112,3050,453,487,4
1212113,3051,1149,1098,20
1212114,3052,505,536,4
1213115,3053,505,933,7
1213116,3054,850,1556,10
1213117,3055,105,216,5
1213118,3056,525,576,5
1213119,3057,38,41,1
1213120,3058,436,477,8
1213121,3059,414,513,9
1213122,3060,280,633,3
1213123,3061,899,1534,13
1213124,3062,72,60,0
1213125,3063,136,126,1
1213126,3064,352,702,9
1213127,3065,419,1229,19
1213128,3066,539,776,7
1213129,3067,622,649,11
1213130,3068,880,1360,14
1213131,3069,1169,1117,22
1213132,3070,1299,1350,28
1213133,3071,1047,876,24
1213134,3072,710,527,11
1213135,3073,1046,1164,22
1213136,3074,693,669,7
1213137,3075,763,738,12
1213138,3076,1173,871,16
1213139,3077,1477,1016,30
1213140,3078,1406,1077,17
1213141,3079,1652,702,14
1213142,3080,278,116,3
1213143,3081,573,467,6
1213144,3082,1207,1020,13
1213145,3083,1599,1172,28
1213146,3084,943,697,11
1213147,3085,1607,1102,26
1213148,3086,845,688,9
1213149,3087,833,568,10
1213150,3088,952,624,14
1213151,3089,1308,818,13
1213152,3090,920,491,12
1213153,3091,1388,693,17
1213154,3092,1299,715,16
1213155,3093,1622,989,26
1213156,3094,419,148,2
1213157,3095,173,57,0
1213158,3096,1402,693,27
1213159,3097,1435,960,31
1213160,3098,1264,762,18
1214043,3099,256,736,7
1214161,3100,713,808,12
1214162,3101,153,128,2
1214162,3102,31,26,0
1214163,3103,638,811,12
1214164,3104,1400,1191,31
1214165,3105,447,1261,17
1214166,3106,419,716,7
1214167,3107,463,1543,22
1214168,3108,230,821,6
1214169,3109,410,1310,9
1214170,3110,321,2407,25
1214171,3111,166,1286,14
1214173,3112,0,8,0
1214174,3113,92,914,7
1214175,3114,30,102,3
1214176,3115,972,822,13
1214177,3116,114,304,1
1214178,3117,341,832,14
1214179,3118,1097,803,12
1214180,3119,539,354,6
1214181,3120,1238,1127,17
1214182,3121,44,19,0
1214183,3122,247,68,2
1214184,3123,1462,622,10
1214185,3124,962,297,7
1214186,3125,1574,483,15
1214187,3126,156,842,8
1214188,3127,0,0,0
1214189,3128,248,101,1
1214190,3129,1113,404,10
1214191,3130,749,265,8
1214192,3131,553,179,4
1214193,3132,1702,460,20
1214194,3133,210,55,5
1214195,3134,119,51,2
1214196,3135,881,380,6
1214197,3136,670,190,7
1214198,3137,1434,402,14
1214199,3138,21,9,0
1214200,3139,23,10,0
1214201,3140,769,332,9
1214202,3141,1608,813,14
1214203,3142,1185,506,14
1214204,3143,1283,748,14
1214205,3144,1449,661,14
1214205,3145,0,0,0
1214206,3146,1273,469,11
1214207,3147,699,185,8
1214208,3148,391,140,4
1214209,3149,842,420,9
1214210,3150,1278,584,11
1214211,3151,1994,798,19
1214212,3152,205,105,0
1214213,3153,436,248,6
1214214,3154,593,277,6
1214215,3155,780,404,8
1214216,3156,300,129,4
1214217,3157,376,162,8
1214218,3158,103,39,2
1214219,3159,1274,340,12
1214220,3160,1240,480,20
1214220,3161,14,8,0
1214220,3162,3,1,0
1214221,3163,54,31,1
1214222,3164,925,518,22
1214223,3165,717,375,4
1214226,3166,980,445,10
1219100,3167,0,0,0
1219101,3168,0,0,0
1219102,3169,0,0,0
1219200,3170,0,0,0
1219201,3171,0,0,0
1219202,3172,0,0,0
1219202,3173,0,0,0
1219203,3174,0,0,0
1219204,3175,0,0,0
1219300,3176,0,0,0
1219301,3177,0,0,0
1219302,3178,0,0,0
1219303,3179,0,0,0
1219304,3180,0,0,0
1230101,3181,763,154,2
1230102,3182,159,235,4
1230201,3183,234,27,6
1230202,3184,471,106,2
1230203,3185,446,66,1
1230301,3186,679,100,1
1230302,3187,515,99,2
1230303,3188,197,47,0
1230401,3189,882,228,5
1230402,3190,628,66,6
1250001,3191,46,5,0
1250002,3192,71,10,2
1250003,3193,144,27,1
1250004,3194,100,29,1
1250005,3195,114,13,0
1250006,3196,160,29,2
1270001,3197,254,444,6
