CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
2010098,4332,29,4,13,5,16,2,44,16,2,4,11,16
2010099,4333,20,7,8,6,20,5,33,14,2,15,7,7
2010100,4334,12,7,6,1,18,5,17,17,1,19,9,9
2010101,4335,5,9,4,0,5,1,9,3,0,2,2,6
2010102,4336,18,9,8,2,22,5,24,14,2,10,15,3
2010103,4337,36,20,28,5,22,4,40,20,3,8,11,23
2010104,4338,100,38,111,11,12,3,33,13,8,5,3,65
2010105,4339,21,9,16,2,35,14,19,24,4,24,34,9
2010106,4340,2,0,0,0,2,0,2,0,0,0,0,1
2010107,4341,21,13,28,0,23,7,19,18,1,10,11,10
2010108,4342,39,17,33,5,26,10,57,32,4,9,15,28
2010109,4343,72,29,133,6,12,6,32,11,0,3,3,47
2010110,4344,53,28,55,7,38,13,92,48,10,8,17,50
2010111,4345,35,20,33,4,27,4,78,30,3,6,18,35
2010112,4346,57,24,31,4,35,13,76,33,3,9,23,32
2010113,4347,47,19,38,7,33,7,81,39,3,8,16,36
2010114,4348,17,13,17,3,15,5,38,18,1,7,11,14
2010115,4349,47,14,37,7,21,9,19,15,4,7,9,21
2010116,4350,86,11,39,4,16,7,148,17,4,9,20,55
2010117,4351,20,8,17,2,23,10,36,24,1,10,20,9
2010118,4352,47,18,68,6,24,9,67,27,3,8,21,43
2010119,4353,13,4,8,1,7,2,30,3,1,3,7,6
2010120,4354,25,10,27,3,18,9,73,27,1,5,21,28
2010121,4355,6,7,5,5,6,3,25,9,2,5,4,5
2010122,4356,69,28,92,5,25,9,30,8,1,7,13,45
2010123,4357,46,12,110,2,29,6,86,35,2,3,48,41
2010124,4358,27,13,19,3,13,4,47,15,4,4,14,23
2010125,4359,30,26,38,6,27,8,55,29,7,9,19,30
2010126,4360,16,11,14,2,11,2,42,14,0,3,9,10
2010127,4361,18,9,9,3,15,4,38,6,1,2,2,12
2010128,4362,101,13,64,1,26,8,147,30,1,2,19,72
2010129,4363,54,12,45,2,25,7,85,26,1,6,24,33
2010130,4364,61,9,37,3,16,6,93,11,1,5,19,32
2010131,4365,26,10,28,2,8,5,17,6,1,6,7,8
2010132,4366,111,30,141,9,12,3,23,3,4,0,5,82
2010133,4367,117,21,73,5,22,9,220,25,3,4,44,116
2010134,4368,47,7,27,3,22,10,46,27,1,5,23,18
2010135,4369,94,10,88,6,23,6,129,26,3,11,17,61
2010136,4370,77,26,212,5,16,6,45,21,3,7,20,154
2010137,4371,18,15,30,7,11,6,47,27,3,6,6,17
2010138,4372,53,16,66,5,13,6,13,7,3,2,7,30
2010139,4373,136,23,176,5,48,12,232,54,4,9,88,125
2010140,4374,84,25,322,8,36,7,139,38,5,7,39,171
2010141,4375,2,0,1,0,4,1,0,0,1,2,2,0
2010142,4376,17,0,1,1,15,3,7,8,0,10,11,4
2010143,4377,104,59,96,8,60,21,177,56,11,15,41,111
2010144,4378,35,20,61,3,7,2,14,5,3,4,2,18
2010145,4379,45,18,67,3,9,3,13,10,2,3,4,38
2010146,4380,121,7,91,3,35,6,133,27,3,5,43,57
2010147,4381,107,42,196,10,27,5,55,29,3,8,9,89
2010148,4382,116,5,149,6,19,5,288,36,1,5,64,158
2010149,4383,24,17,30,8,23,6,70,27,6,8,25,32
2010150,4384,48,18,61,5,11,3,14,10,3,6,4,33
2010151,4385,23,7,32,1,6,0,4,5,2,3,3,12
2010152,4386,22,9,14,7,40,19,24,38,3,20,25,16
2010153,4387,12,6,13,1,29,7,16,23,1,7,19,3
2010154,4388,37,3,15,2,43,15,36,36,0,12,30,5
2010155,4389,66,21,46,9,47,13,165,45,5,8,33,58
2010156,4390,2,0,3,0,1,0,2,1,0,0,1,1
2010157,4391,101,34,139,4,17,4,33,8,5,7,6,44
2010158,4392,113,29,151,7,18,7,43,8,1,2,10,71
2010159,4393,27,13,45,6,10,3,32,12,5,1,15,12
2010160,4394,18,7,31,3,12,2,14,7,2,2,2,14
2010161,4395,31,12,70,3,8,2,19,16,1,2,2,18
2010162,4396,10,0,4,1,18,4,3,19,0,6,12,6
2010163,4397,50,7,9,6,58,18,34,42,7,23,16,13
2010164,4398,58,24,56,4,11,1,18,8,2,6,2,25
2010165,4399,49,12,22,1,34,8,79,28,3,9,32,37
2010166,4400,31,10,47,4,30,6,75,33,0,12,26,17
2010167,4401,3,0,1,0,0,0,0,0,0,0,0,1
2010168,4402,14,7,26,2,2,3,8,2,0,0,0,5
2010169,4403,89,21,144,6,17,5,30,7,6,4,8,44
2010170,4404,21,3,10,2,24,5,24,20,2,11,16,7
2010171,4405,46,21,40,3,6,4,16,5,1,6,7,25
2010172,4406,16,2,13,1,7,3,16,8,2,6,11,3
2010173,4407,21,14,21,4,19,7,57,22,4,3,10,14
2010174,4408,52,22,50,6,31,11,209,35,3,8,28,48
2010175,4409,127,10,81,8,22,3,166,25,3,1,30,105
2010176,4410,74,9,30,3,14,3,85,11,0,3,16,32
2010177,4411,60,7,59,5,15,6,98,26,1,11,24,50
2010178,4412,79,2,36,1,21,7,115,14,3,4,24,54
2010179,4413,35,16,32,1,22,6,67,22,2,14,20,18
2010180,4414,77,20,105,3,17,7,25,9,1,10,8,55
2010181,4415,29,8,8,6,41,20,18,38,5,22,30,2
2010182,4416,51,7,24,4,11,7,69,17,2,4,15,35
2010183,4417,109,11,51,1,24,6,165,25,1,5,24,66
2010184,4418,16,5,11,1,14,4,12,5,1,3,4,2
2010185,4419,31,19,52,0,23,7,28,27,0,15,14,27
2010186,4420,13,6,15,0,11,1,5,13,0,6,7,6
2010187,4421,2,2,0,0,8,0,1,3,0,3,4,0
2010188,4422,10,4,15,3,23,4,8,14,4,7,15,7
2010189,4423,42,6,56,0,16,3,85,15,3,5,19,26
2010190,4424,11,5,9,1,29,4,13,25,2,12,8,4
2010191,4425,10,3,4,0,12,4,18,13,0,6,7,2
2010192,4426,63,24,92,5,18,3,35,18,3,6,11,48
2010193,4427,21,6,73,3,11,4,24,13,1,4,7,34
2010194,4428,82,14,144,4,37,11,160,56,3,13,75,85
2010195,4429,54,18,105,4,18,5,27,15,2,5,23,50
2010196,4430,13,1,16,0,8,3,10,10,1,6,2,4
2010197,4431,107,29,145,5,21,6,30,13,4,6,3,51
2010198,4432,14,3,28,0,6,2,5,6,1,1,1,12
2010199,4433,35,7,22,5,28,7,70,33,2,7,19,22
2010200,4434,128,25,248,8,42,12,279,62,4,20,77,116
2010201,4435,16,10,20,0,7,1,13,4,1,3,2,15
2010202,4436,49,14,52,2,12,6,23,8,3,7,8,27
2010203,4437,27,3,10,2,8,5,9,18,0,5,4,9
2010204,4438,119,11,120,4,42,10,209,61,4,9,56,59
2010205,4439,96,29,130,5,16,4,25,10,3,3,3,52
2010206,4440,69,12,85,8,54,15,155,51,3,22,84,47
2010207,4441,53,5,44,2,22,7,72,39,2,5,56,24
2010208,4442,63,20,58,6,38,11,31,28,1,15,8,9
2010209,4443,88,46,86,6,38,17,47,39,4,13,27,42
2010210,4444,78,32,274,4,37,9,85,29,3,8,56,107
2010211,4445,65,12,29,5,57,11,38,42,0,16,47,14
2010212,4446,12,9,13,3,14,3,6,11,1,6,4,7
2010213,4447,84,6,20,2,14,4,114,8,6,2,16,72
2010214,4448,86,13,38,7,25,6,128,24,1,4,21,51
2010215,4449,106,8,44,4,32,5,150,24,7,3,39,66
2010216,4450,61,15,110,3,19,9,24,21,4,6,11,28
2010217,4451,121,3,96,2,10,5,185,27,4,5,32,105
2010218,4452,94,13,74,4,55,19,89,56,3,15,69,22
2010219,4453,75,35,187,5,22,4,58,31,2,5,14,88
2010220,4454,17,10,3,6,19,5,20,26,0,4,22,1
2010221,4455,48,9,17,3,53,18,44,53,1,23,45,13
2010222,4456,130,9,137,1,15,5,260,38,1,2,39,127
2010223,4457,82,18,159,10,55,12,160,78,5,13,102,78
2010224,4458,93,17,89,2,40,13,171,38,4,5,66,98
2010225,4459,21,10,13,3,15,4,27,14,2,5,8,12
2010226,4460,43,13,9,2,46,18,22,41,1,16,43,15
2010227,4461,59,3,42,1,7,1,96,4,1,2,5,61
2010228,4462,56,6,234,4,8,3,36,7,2,2,5,94
2010229,4463,5,6,3,2,15,2,6,7,0,7,6,2
2010230,4464,28,16,43,6,7,2,10,5,1,2,0,15
2010231,4465,27,6,16,4,28,13,25,33,0,16,27,11
2010232,4466,99,6,59,6,26,4,124,29,7,5,21,61
2010233,4467,93,16,112,5,48,12,182,45,8,11,75,72
2010234,4468,132,18,62,5,19,7,176,21,4,7,23,98
2010235,4469,128,34,253,9,25,11,70,22,4,8,22,120
2010236,4470,72,19,84,5,15,8,15,3,3,6,6,22
2010237,4471,69,21,81,6,11,5,27,10,3,3,4,49
2010238,4472,47,24,75,1,10,6,12,11,1,1,4,38
2010239,4473,62,19,92,9,8,4,22,8,3,2,5,53
2010240,4474,85,23,133,6,15,8,26,11,3,3,3,75
2010241,4475,24,6,8,2,31,8,18,22,2,12,15,8
2010242,4476,13,7,2,1,16,9,15,23,0,5,9,6
2010243,4477,29,7,44,1,4,0,10,1,0,0,0,13
2010244,4478,63,21,24,6,38,9,57,39,7,21,23,49
2010245,4479,38,21,20,8,24,8,52,37,1,11,17,24
2010246,4480,61,33,47,5,49,10,71,44,5,11,39,46
2010247,4481,29,8,58,3,9,3,10,6,1,4,7,32
2010248,4482,12,13,11,3,20,9,12,22,1,8,11,4
2010249,4483,42,4,18,4,29,3,53,19,0,7,13,11
2010250,4484,44,17,32,6,24,9,33,16,6,8,8,27
2010251,4485,98,44,108,16,22,10,48,12,5,5,4,50
2010252,4486,86,29,111,6,23,3,28,5,7,5,6,65
2010253,4487,72,27,99,2,17,1,28,8,3,2,2,25
2010254,4488,8,4,4,1,9,5,6,13,0,9,11,5
2010255,4489,124,13,96,8,29,8,204,29,4,5,39,79
2010256,4490,74,31,43,5,34,23,90,43,3,28,52,31
2010257,4491,48,19,30,1,45,18,32,40,2,12,24,18
2010258,4492,86,9,34,5,14,6,123,11,0,2,17,60
2010259,4493,140,44,165,8,23,5,36,13,8,2,9,167
2010260,4494,23,9,14,3,16,2,35,15,4,5,16,20
2010261,4495,19,3,5,1,17,8,11,19,3,8,9,0
2010262,4496,69,23,53,7,42,13,124,74,3,20,37,35
2010263,4497,60,23,38,5,39,8,101,44,9,11,18,25
2010264,4498,54,10,26,2,31,2,66,35,0,8,26,14
2010265,4499,79,18,30,7,19,7,121,33,2,5,20,70
2010266,4500,43,12,26,4,20,9,40,46,0,9,28,16
2010267,4501,12,5,5,0,16,6,18,19,2,7,10,3
2010268,4502,113,19,47,0,23,5,187,29,3,2,23,79
2010269,4503,69,4,35,4,15,4,98,11,3,8,10,49
2010270,4504,115,19,70,2,54,12,155,61,3,22,37,38
2010271,4505,153,39,196,12,17,6,37,7,1,3,5,108
2010272,4506,42,20,47,8,34,5,54,27,3,7,32,25
2010273,4507,54,5,25,1,6,3,73,22,2,1,13,42
2010274,4508,69,9,34,2,25,3,83,27,5,6,19,46
2010275,4509,43,13,34,0,17,5,25,15,0,9,16,23
2010276,4510,103,28,125,10,17,1,32,10,5,2,6,67
2010277,4511,16,9,5,3,26,11,13,18,3,8,18,2
2010278,4512,41,2,7,4,36,14,36,36,4,14,26,7
2010279,4513,20,7,6,1,22,6,26,18,0,9,13,6
2010280,4514,17,9,10,2,21,6,11,11,0,10,7,3
2010281,4515,155,11,59,2,14,3,184,26,2,3,28,84
2010282,4516,46,18,39,2,26,9,77,18,4,4,27,41
2010283,4517,37,22,41,6,23,7,28,21,6,12,10,22
2010284,4518,94,22,69,7,36,14,89,29,3,18,37,39
2010285,4519,130,20,101,10,46,14,33,35,5,17,20,67
2010286,4520,161,52,278,7,31,18,45,27,5,16,23,107
2010287,4521,89,6,64,7,15,5,133,18,2,3,29,46
2010288,4522,103,26,125,3,17,7,37,8,0,3,2,87
2010289,4523,24,6,4,1,12,5,17,23,2,8,15,6
2010290,4524,14,1,4,0,2,0,41,6,0,0,4,2
2010291,4525,49,4,35,2,11,5,70,14,1,2,13,29
2010292,4526,36,13,61,2,12,5,15,10,0,7,2,15
2010293,4527,61,10,50,5,13,6,89,21,0,7,22,26
2010294,4528,88,12,113,8,10,3,20,9,4,1,5,74
2010295,4529,24,11,29,4,3,1,13,3,0,1,0,15
2010296,4530,28,4,35,5,19,7,49,27,1,7,13,15
2010297,4531,29,11,31,6,12,6,42,15,1,8,14,16
2010298,4532,54,15,49,4,21,4,82,40,5,16,21,30
2010299,4533,28,10,15,2,21,7,40,23,1,12,16,9
2010300,4534,45,16,35,3,19,4,96,19,2,1,15,23
2010301,4535,24,6,5,0,30,11,18,29,2,13,14,3
2010302,4536,41,7,23,5,43,10,42,42,2,13,17,7
2010303,4537,73,15,45,3,13,6,141,15,2,2,17,65
2010304,4538,109,9,51,3,16,6,104,21,3,2,33,65
2010305,4539,58,32,47,3,56,12,81,51,3,14,25,44
2010306,4540,51,9,15,1,10,5,128,18,1,6,10,41
2010307,4541,63,8,22,5,27,4,166,30,1,12,27,40
2010308,4542,35,12,26,3,16,9,23,18,2,14,16,15
2010309,4543,81,2,34,2,15,6,138,21,3,7,24,69
2010310,4544,31,8,23,3,11,4,49,11,1,5,9,17
2010311,4545,43,12,23,3,16,6,38,20,4,10,14,24
2010312,4546,68,28,56,5,52,12,113,26,4,5,31,50
2010313,4547,0,0,2,0,0,0,1,0,0,0,3,1
2010314,4548,26,24,33,5,17,7,55,21,2,9,20,30
2010315,4549,74,5,39,0,12,3,99,28,4,4,21,40
2010316,4550,72,6,29,2,15,0,103,13,1,4,16,48
2010317,4551,29,13,29,3,11,6,28,15,1,3,18,20
2010318,4552,149,53,303,11,25,6,60,24,4,9,14,155
2010319,4553,92,26,157,4,26,4,29,8,4,4,9,48
2010320,4554,13,3,3,3,18,7,10,18,1,7,12,3
2010321,4555,19,8,4,1,33,7,14,24,0,17,19,2
2010322,4556,18,3,34,3,10,1,40,8,1,5,4,7
2010323,4557,32,7,44,7,33,3,52,18,2,1,28,18
2010324,4558,83,7,76,6,30,4,150,35,3,10,36,56
2010325,4559,36,15,49,3,25,8,47,33,4,14,19,27
2010326,4560,6,2,3,0,10,6,3,13,0,6,11,4
2010327,4561,59,16,109,4,12,6,22,7,1,3,7,40
2010328,4562,13,5,5,0,16,7,12,18,1,11,12,6
2010329,4563,38,7,16,3,26,12,33,22,1,8,17,19
2010330,4564,36,11,48,6,36,10,77,43,0,11,18,27
2010331,4565,15,20,24,3,15,9,41,10,3,6,15,11
2010332,4566,111,35,153,5,45,14,49,33,9,34,16,60
2010333,4567,55,15,32,8,28,7,109,38,1,16,28,30
2010334,4568,12,6,12,2,7,2,8,9,1,5,5,6
2010335,4569,19,10,23,6,25,11,27,9,5,6,14,8
2010336,4570,71,25,184,4,22,5,50,18,5,5,12,55
2010337,4571,25,6,27,0,17,4,14,6,0,1,2,14
2010338,4572,62,38,61,10,36,12,70,33,4,18,27,31
2010339,4573,42,9,39,2,54,12,43,50,0,18,36,8
2010340,4574,49,7,29,1,25,16,85,41,4,11,25,31
2010341,4575,17,1,7,1,23,11,16,24,1,6,8,2
2010342,4576,16,8,7,3,13,6,14,3,0,5,4,12
2010343,4577,35,7,17,4,37,9,36,35,0,7,34,11
2010344,4578,35,11,48,2,14,3,15,8,2,2,11,22
2010345,4579,31,13,30,5,28,12,35,21,0,8,21,17
2010346,4580,0,0,0,0,0,0,0,0,0,0,0,0
2010347,4581,43,9,17,4,42,3,74,37,1,16,23,15
2010348,4582,18,5,3,0,11,2,24,8,1,5,8,4
2010349,4583,35,7,8,1,12,2,37,13,0,4,11,10
2010350,4584,93,22,110,10,44,9,172,67,6,10,73,69
2010351,4585,59,14,26,4,26,4,98,35,4,8,23,22
2010352,4586,31,8,13,4,22,4,36,16,1,4,11,9
2010353,4587,110,41,94,19,54,18,62,44,12,19,30,62
2010354,4588,108,41,107,19,40,11,73,34,3,15,37,62
2010355,4589,67,28,94,1,15,3,39,17,3,5,16,51
2010356,4590,66,27,51,7,29,8,114,26,8,9,28,60
2010357,4591,54,11,32,8,25,9,111,40,2,5,24,22
2010358,4592,34,13,23,3,11,5,17,10,4,5,2,25
2010359,4593,34,22,52,1,29,8,30,22,2,10,12,27
2010360,4594,121,19,123,8,37,9,204,55,1,3,71,90
2010361,4595,23,7,90,4,37,10,103,119,1,8,179,46
2010362,4596,71,19,41,8,56,13,140,38,9,10,33,41
2010363,4597,64,42,69,10,45,13,57,39,5,15,30,36
2010364,4598,27,12,19,2,27,9,40,25,1,11,11,23
2010365,4599,96,22,176,3,15,3,42,9,2,3,7,103
2010366,4600,58,31,50,13,36,16,32,44,6,30,24,35
2010367,4601,31,12,37,1,19,3,37,20,1,6,16,26
2010368,4602,29,14,22,2,10,3,12,11,1,4,6,12
2010369,4603,7,2,19,1,6,2,15,2,0,1,7,6
2010370,4604,37,15,29,5,18,6,61,19,2,9,22,23
2010371,4605,26,9,26,2,5,1,9,1,1,2,0,14
2010372,4606,55,12,66,5,16,4,22,14,1,8,1,37
2010373,4607,5,1,5,0,1,2,1,0,0,1,0,5
2010374,4608,21,1,1,0,10,2,8,16,2,5,11,1
2010375,4609,31,9,10,2,45,14,21,21,3,15,17,10
2010376,4610,24,6,15,4,17,4,24,10,0,7,6,14
2010377,4611,5,1,3,0,3,1,22,2,0,0,4,1
2010378,4612,58,16,11,4,42,7,58,24,8,8,19,13
2010379,4613,85,29,97,9,20,9,26,19,1,5,7,73
2010380,4614,101,54,121,14,45,18,126,70,7,17,27,96
2010381,4615,27,21,21,5,28,6,30,21,4,18,13,7
2010382,4616,14,3,17,3,13,1,9,2,1,4,7,7
2010383,4617,41,18,42,2,22,3,35,25,4,9,6,27
2010384,4618,112,30,155,9,22,5,47,16,7,8,8,81
2010385,4619,61,6,30,4,7,3,69,5,2,4,14,38
2010386,4620,25,11,11,8,11,1,24,14,0,4,5,13
2010387,4621,54,21,26,9,30,10,50,34,4,16,23,15
2010388,4622,57,33,64,6,27,9,57,42,6,15,16,43
2010389,4623,19,12,49,5,44,5,46,34,1,7,35,28
2010390,4624,40,16,157,5,20,6,55,21,2,3,23,99
2010391,4625,43,8,26,2,13,5,69,12,4,5,14,16
2010392,4626,63,20,73,3,5,1,24,3,1,4,4,56
2010393,4627,31,7,10,2,17,5,36,8,1,4,16,12
2010394,4628,6,0,1,1,11,5,7,13,1,6,3,1
2010395,4629,38,5,35,4,13,9,93,21,2,5,10,27
2010396,4630,101,32,154,11,14,2,21,10,5,4,9,108
2010397,4631,8,6,5,3,5,3,6,11,0,3,2,5
2010398,4632,68,45,67,9,53,16,84,68,9,27,38,44
2010399,4633,54,26,58,3,34,9,59,36,3,9,19,29
2010400,4634,0,0,0,0,0,0,0,0,0,0,0,0
2010401,4635,60,21,85,7,25,5,21,15,3,12,3,24
2010402,4636,130,37,194,8,25,5,37,23,3,8,12,95
2010403,4637,96,11,47,4,19,3,134,14,5,5,21,74
2010404,4638,22,5,9,3,35,13,19,32,3,4,26,10
2010405,4639,55,24,38,7,28,11,94,34,8,8,29,51
2010406,4640,26,7,19,0,2,0,5,0,1,0,1,24
2010407,4641,72,10,60,6,47,13,111,63,1,11,42,39
2010408,4642,11,2,2,1,18,7,15,15,0,10,13,4
2010409,4643,14,11,9,1,25,5,12,15,1,5,9,5
2010410,4644,25,4,24,2,8,4,17,9,0,7,3,13
2010411,4645,22,12,18,5,32,7,22,29,4,11,15,7
2010412,4646,10,5,25,4,4,0,6,5,0,0,3,7
2010413,4647,118,36,66,16,39,7,70,34,4,12,23,63
2010414,4648,34,9,10,5,25,4,41,15,2,10,9,16
2010415,4649,51,7,25,4,17,5,115,18,3,5,21,28
2010416,4650,69,22,39,5,59,11,107,37,5,9,39,34
2010417,4651,20,5,17,2,12,3,13,8,1,3,4,8
2010418,4652,72,28,47,6,42,16,49,34,3,6,26,38
2010419,4653,34,9,11,5,27,9,47,39,4,12,16,13
2010420,4654,57,16,11,5,30,4,68,22,7,4,16,20
2010421,4655,73,31,82,8,25,8,58,32,5,10,22,66
2010422,4656,123,47,196,6,14,15,51,13,11,4,11,115
2010423,4657,13,6,11,0,16,8,9,9,2,7,10,4
2010424,4658,24,5,18,4,3,4,42,14,2,2,16,18
2010425,4659,20,6,12,1,9,3,21,14,0,7,9,6
2010426,4660,18,8,13,2,15,5,44,11,2,5,13,12
2010427,4661,21,6,19,4,15,1,23,8,0,12,9,11
2010428,4662,37,19,28,9,25,11,35,22,5,13,9,24
2010429,4663,52,29,44,7,20,16,34,20,4,8,14,19
2010430,4664,22,14,22,0,20,11,19,10,1,4,11,9
2010431,4665,44,33,32,9,43,15,64,54,11,20,44,21
2010432,4666,19,18,19,2,19,5,31,22,3,3,14,7
2010433,4667,11,3,11,0,3,1,10,12,0,2,8,6
2010434,4668,44,7,39,3,20,5,86,16,1,4,26,33
2010435,4669,97,21,74,4,36,15,152,19,2,9,35,60
2010436,4670,124,20,115,6,38,13,175,55,10,10,63,82
2010437,4671,60,5,21,2,16,11,93,13,2,4,16,46
2010438,4672,75,19,31,7,17,12,126,29,2,7,28,77
2010439,4673,72,15,42,7,35,7,136,30,5,7,24,62
2010440,4674,59,14,27,1,16,8,104,24,6,5,17,42
2010441,4675,44,6,17,1,0,4,58,11,3,5,12,26
2010442,4676,49,16,44,8,22,8,95,25,4,4,16,34
2010443,4677,18,3,4,0,7,1,25,3,1,2,3,20
2010444,4678,67,13,40,8,37,12,95,35,0,12,33,30
2010445,4679,47,15,32,4,22,6,63,27,1,9,17,22
2010446,4680,3,0,2,0,11,1,4,3,0,3,3,0
2010447,4681,19,12,20,4,15,4,33,16,3,4,9,20
2010448,4682,99,13,93,5,35,8,198,38,3,2,32,67
2010449,4683,0,0,0,0,0,0,0,0,0,0,0,0
2010450,4684,85,23,108,5,32,9,78,25,4,12,13,43
2010451,4685,31,9,19,1,17,5,83,26,4,4,15,40
2010452,4686,22,11,27,3,24,9,49,25,3,9,21,24
2010453,4687,20,5,19,0,7,2,14,8,0,2,6,9
2010454,4688,112,41,96,8,22,1,25,5,7,4,3,69
2010455,4689,45,24,58,3,13,5,9,1,4,1,5,33
2010456,4690,53,14,26,11,45,7,51,27,7,9,14,30
2010457,4691,0,0,0,0,0,0,0,0,0,0,0,0
2010458,4692,86,13,149,5,16,5,20,22,3,6,12,53
2010459,4693,78,4,38,3,28,9,121,37,1,7,27,61
2010460,4694,86,65,112,16,48,20,58,44,4,12,25,53
2010461,4695,98,26,56,10,39,11,233,33,8,10,33,62
2010462,4696,134,29,114,5,34,12,88,25,4,6,32,73
2010463,4697,28,30,32,5,26,9,47,25,4,9,15,24
2010464,4698,35,22,26,2,30,11,64,26,3,7,24,20
2010465,4699,88,40,79,5,48,20,102,49,11,13,45,60
2010466,4700,118,54,88,9,40,8,138,51,8,10,19,103
2010467,4701,40,22,45,0,11,4,14,17,1,1,3,21
2010468,4702,70,42,57,12,61,14,58,37,3,29,26,45
2010469,4703,42,7,21,5,20,3,62,31,1,5,21,13
2010470,4704,12,2,3,0,6,3,10,7,1,2,5,3
2010471,4705,20,5,6,2,14,4,30,10,1,8,7,7
2010472,4706,46,7,38,2,7,3,92,10,2,1,24,50
2010473,4707,44,10,15,2,15,4,93,19,0,2,15,28
2010474,4708,15,6,5,2,7,5,23,7,2,4,11,8
2010475,4709,19,6,16,3,17,3,22,16,1,5,7,4
2010476,4710,35,8,21,0,19,7,24,18,0,5,11,8
2010477,4711,60,23,47,9,44,7,91,48,8,10,35,34
2010478,4712,60,19,43,5,31,8,102,43,2,8,19,30
2010479,4713,54,11,43,2,31,5,107,39,4,4,25,37
2010480,4714,46,15,23,8,27,6,75,23,2,13,13,17
2010481,4715,43,24,19,2,24,3,73,33,0,9,25,18
2010482,4716,52,14,37,5,21,6,90,36,2,13,26,27
2010483,4717,96,41,64,9,63,15,155,46,4,16,45,79
2010484,4718,61,22,47,8,38,10,102,45,8,10,23,44
2010485,4719,50,24,40,5,29,12,107,29,4,9,24,24
2010486,4720,50,19,44,7,31,12,115,25,6,5,20,37
2010487,4721,60,30,27,4,32,16,36,21,5,12,13,27
2010488,4722,39,8,31,1,18,5,41,16,1,12,21,25
2010489,4723,61,22,79,5,20,9,67,24,0,11,20,42
2010490,4724,84,25,89,6,22,10,84,23,3,8,26,62
2010491,4725,38,9,46,5,14,8,81,41,4,15,39,33
2010492,4726,45,11,43,8,22,7,75,16,4,3,22,36
2010493,4727,59,39,54,10,44,19,61,50,3,14,25,59
2010494,4728,73,26,91,12,39,11,46,24,2,18,20,42
2010495,4729,48,18,38,3,17,5,74,26,6,8,20,35
2010496,4730,44,16,26,7,43,11,39,29,6,20,17,11
2010497,4731,41,20,61,5,12,7,13,7,7,4,4,31
2010498,4732,21,10,28,2,16,3,39,15,1,5,14,26
2010499,4733,58,11,30,4,21,8,106,17,1,8,22,51
2010500,4734,66,24,40,4,36,7,89,50,2,11,25,34
2010501,4735,87,9,104,5,33,7,165,37,3,5,41,72
2010502,4736,28,9,8,9,17,4,35,8,5,3,9,5
2010503,4737,18,5,19,4,19,9,51,14,0,3,11,18
2010504,4738,76,16,36,3,15,4,114,19,3,4,30,43
2010505,4739,121,23,121,8,67,15,165,50,3,22,53,49
2010506,4740,173,46,173,8,51,5,81,29,9,12,26,120
2010507,4741,13,10,14,2,16,7,22,9,2,3,8,7
2010508,4742,74,45,51,10,48,16,72,51,6,33,25,17
2010509,4743,33,15,22,8,27,10,68,22,5,5,20,18
2010510,4744,78,35,65,11,42,18,128,41,11,8,37,66
2010511,4745,27,18,23,2,14,4,36,17,2,4,9,22
2010512,4746,53,37,39,5,46,25,76,45,6,24,29,46
2010513,4747,54,15,24,5,24,7,121,36,5,7,17,40
2010514,4748,60,26,42,9,32,4,128,31,6,9,20,42
2010515,4749,35,7,25,5,25,13,91,26,3,3,23,19
2010516,4750,60,22,43,4,23,5,65,38,3,9,17,27
2010517,4751,35,13,27,4,30,10,51,29,0,16,24,17
2010518,4752,50,29,54,6,32,12,95,31,3,19,27,52
2010519,4753,39,16,30,5,24,4,56,20,1,6,23,21
2010520,4754,5,4,5,0,4,0,5,2,0,0,0,4
2010521,4755,58,23,35,3,51,14,48,29,9,11,38,41
2010522,4756,51,12,24,3,30,4,111,27,3,4,32,24
2010523,4757,62,23,40,4,37,11,76,48,2,8,30,27
2010524,4758,93,34,40,4,37,13,82,40,9,18,31,51
2010525,4759,149,55,165,10,35,8,112,24,4,13,16,107
2010526,4760,11,3,21,2,16,7,9,15,2,6,8,0
2010527,4761,4,1,3,0,5,2,3,3,0,2,4,0
2010528,4762,32,20,28,3,13,4,15,14,2,4,9,18
2010529,4763,33,10,10,1,22,3,61,13,2,9,13,9
2010530,4764,19,1,7,1,9,9,14,14,2,9,14,2
2010531,4765,29,9,14,13,12,8,36,14,5,7,5,12
2010532,4766,9,5,7,4,7,3,21,7,1,2,8,5
2010533,4767,12,4,2,3,9,2,11,3,0,6,4,2
2010534,4768,16,2,1,0,10,4,20,7,0,2,9,9
2010535,4769,0,2,1,0,8,2,3,3,0,5,2,0
2010536,4770,70,26,45,7,54,20,34,52,2,19,27,21
2010537,4771,72,9,28,5,17,5,85,16,6,8,13,38
2010538,4772,81,16,139,7,13,7,34,9,4,7,11,65
2010539,4773,26,10,23,1,13,9,22,27,2,8,17,20
2010540,4774,86,17,96,4,35,7,177,29,2,9,50,77
2010541,4775,50,22,86,8,18,8,49,23,4,5,21,48
