CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
4690006,9203,0,3,5,1,1,1,6,4,3,0,7,2
4690007,9204,15,16,20,8,36,6,30,23,5,6,57,29
4690008,9205,12,11,14,4,44,2,27,26,9,4,29,5
4690009,9206,1,0,4,0,11,0,13,6,1,1,12,2
4690010,9207,4,6,4,4,14,3,16,13,6,3,13,5
4690011,9208,1,1,1,0,5,1,6,1,3,0,5,1
4690012,9209,5,3,0,1,8,1,11,5,7,3,12,1
4690013,9210,3,3,6,3,20,5,18,14,2,2,32,2
4690014,9211,5,6,6,4,10,3,14,7,9,1,12,2
4690015,9212,2,0,1,1,3,0,2,1,0,0,0,1
4690016,9213,4,1,1,1,1,0,3,3,0,0,4,0
4690017,9214,1,2,2,0,3,0,5,3,0,1,3,0
4690018,9215,20,1,10,2,24,6,41,20,4,2,29,6
4690019,9216,13,11,16,11,20,9,37,28,2,2,38,5
4690020,9217,3,6,4,4,3,3,19,1,2,0,14,5
4690021,9218,20,7,20,9,35,11,67,22,13,2,35,4
4690022,9219,4,1,6,0,2,1,20,3,2,1,5,3
4690023,9220,2,1,9,0,6,1,20,8,3,2,12,1
4690024,9221,5,7,4,0,6,6,13,7,4,0,7,3
4690025,9222,22,18,14,4,23,9,71,42,12,2,53,14
4690026,9223,3,3,5,1,5,1,8,3,3,0,10,3
4690027,9224,4,1,3,1,3,1,10,1,3,1,7,3
4690028,9225,0,1,1,1,0,0,0,1,0,0,2,1
4690029,9226,13,9,9,4,14,7,54,16,9,2,39,3
4690030,9227,7,4,3,0,7,0,10,6,2,0,5,1
4690031,9228,5,3,6,3,16,3,14,10,5,1,13,7
4690032,9229,3,4,4,3,29,3,14,15,5,4,17,8
4690033,9230,26,6,21,8,33,3,93,21,15,1,47,12
4690034,9231,10,6,8,0,12,2,7,12,2,1,14,9
4690035,9232,5,2,1,1,9,2,3,8,0,2,9,0
4710101,9233,10,5,5,2,4,3,9,7,1,2,7,13
4710102,9234,59,8,41,12,53,17,119,42,2,3,56,40
4710103,9235,22,3,9,3,9,2,21,6,4,1,3,9
4710104,9236,15,6,9,0,11,4,27,3,1,1,5,2
4710201,9237,30,10,16,5,18,13,32,16,2,4,22,18
4710201,9238,1,0,0,0,0,0,0,0,0,0,0,1
4710203,9239,24,7,17,3,10,7,26,5,4,0,9,29
4710204,9240,10,2,6,2,5,3,7,2,2,0,2,8
