CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President,BennetD_20P_President_Percentage,BidenD_20P_President_Percentage,BloombergD_20P_President_Percentage,BookerD_20P_President_Percentage,CastroD_20P_President_Percentage,De La FuenteD_20P_President_Percentage,DelaneyD_20P_President_Percentage,GabbardD_20P_President_Percentage,KlobucharD_20P_President_Percentage,PatrickD_20P_President_Percentage,SandersD_20P_President_Percentage,SteyerD_20P_President_Percentage,WarrenD_20P_President_Percentage,WellsD_20P_President_Percentage,WilliamsonD_20P_President_Percentage,YangD_20P_President_Percentage,ButtigiegD_20P_President_Percentage
50033,60,0,18,3,0,0,1,0,0,0,0,14,1,2,0,0,0,1,0.0,0.45,0.075,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.35,0.025,0.05,0.0,0.0,0.0,0.025
50034,61,0,89,26,0,0,1,0,1,8,1,30,0,11,0,1,1,13,0.0,0.489010989010989,0.14285714285714285,0.0,0.0,0.005494505494505495,0.0,0.005494505494505495,0.04395604395604396,0.005494505494505495,0.16483516483516483,0.0,0.06043956043956044,0.0,0.005494505494505495,0.005494505494505495,0.07142857142857142
50035,62,0,68,21,0,0,1,0,1,0,0,23,0,14,0,0,0,2,0.0,0.5230769230769231,0.16153846153846155,0.0,0.0,0.007692307692307693,0.0,0.007692307692307693,0.0,0.0,0.17692307692307693,0.0,0.1076923076923077,0.0,0.0,0.0,0.015384615384615385
50037,63,0,12,2,0,0,0,0,0,1,0,6,0,1,0,0,0,3,0.0,0.48,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.12
50038,64,0,5,3,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0.0,0.29411764705882354,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0,0.0,0.0,0.0
50039,65,0,21,1,0,1,0,0,0,1,0,9,0,2,0,0,0,3,0.0,0.5526315789473685,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.23684210526315788,0.0,0.05263157894736842,0.0,0.0,0.0,0.07894736842105263
50040,66,0,34,11,0,1,1,0,0,2,0,17,1,5,0,0,0,2,0.0,0.4594594594594595,0.14864864864864866,0.0,0.013513513513513514,0.013513513513513514,0.0,0.0,0.02702702702702703,0.0,0.22972972972972974,0.013513513513513514,0.06756756756756757,0.0,0.0,0.0,0.02702702702702703
5011,67,0,29,2,1,1,0,0,0,0,1,11,0,4,0,0,0,0,0.0,0.5918367346938775,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.02040816326530612,0.22448979591836735,0.0,0.08163265306122448,0.0,0.0,0.0,0.0
5017,68,0,3,6,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0.0,0.23076923076923078,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0
70001,69,0,54,18,0,0,0,0,0,5,0,37,0,22,0,1,0,5,0.0,0.38028169014084506,0.1267605633802817,0.0,0.0,0.0,0.0,0.0,0.035211267605633804,0.0,0.2605633802816901,0.0,0.15492957746478872,0.0,0.007042253521126761,0.0,0.035211267605633804
