CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President
"0170004A",134,0,7,4,0,0,2,0,1,0,0,5,0,1,0,0,0,1
"0170004B",135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0190101",136,0,46,17,0,0,0,0,0,7,0,24,2,4,0,1,0,12
"0190102",137,0,75,29,0,1,0,0,1,7,0,39,1,25,0,1,1,11
"0190203",138,0,78,24,0,0,0,0,0,5,0,49,2,18,0,0,0,6
"0190204",139,0,39,23,0,0,0,0,0,4,0,58,1,14,1,1,0,6
"0190305",140,0,52,20,0,0,1,0,0,4,0,33,1,16,0,0,2,7
"0190306",141,0,33,10,0,0,0,0,0,3,0,18,0,11,0,1,0,5
"0190407",142,0,62,29,0,0,0,0,0,5,0,41,1,15,0,2,1,9
"0190408",143,0,22,6,0,0,0,0,0,6,0,2,0,8,0,0,0,1
"0190409",144,0,21,12,0,0,0,0,0,1,0,11,2,7,0,0,0,3
"0190410",145,0,15,1,0,0,0,0,0,0,0,7,0,7,0,1,0,0
"0211001",146,0,16,6,0,0,0,0,0,2,0,15,1,10,0,0,0,5
"0211002",147,0,27,9,0,0,0,0,0,3,0,32,1,15,0,0,0,6
"0211003",148,0,108,39,0,0,0,0,1,13,0,105,4,60,0,0,0,29
"0211004",149,0,143,60,1,0,0,0,0,7,1,119,2,52,0,0,0,15
"0211005",150,0,55,29,0,0,0,0,0,3,0,46,2,19,0,0,0,5
"0211006",151,2,79,33,0,1,1,1,0,7,0,111,5,34,0,0,1,11
"0211007",152,0,110,47,0,1,0,0,1,12,0,63,2,32,0,1,1,14
"0211008",153,0,79,36,0,0,0,0,0,8,0,44,2,26,0,0,1,11
"0211009",154,1,100,44,0,0,1,1,1,8,0,96,5,38,0,0,1,9
"0212010",155,0,29,12,2,0,2,0,1,4,1,26,3,14,0,0,1,6
"0212011",156,0,69,32,0,0,0,0,2,11,0,59,3,25,0,0,1,15
