CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
291145,399,1582,74,628,0.415584415584416,0.04677623261694058
291146,400,201,10,133,0.6,0.04975124378109453
291147,401,2791,156,1523,0.455696202531646,0.05589394482264421
291148,402,1103,32,638,0.236842105263158,0.02901178603807797
291149,403,2264,168,1191,0.526011560693642,0.07420494699646643
291150,404,2973,147,1416,0.493421052631579,0.04944500504540868
291151,405,3712,153,1406,0.358490566037736,0.0412176724137931
291152,406,1675,140,802,0.414285714285714,0.08358208955223881
291153,407,2310,100,974,0.386138613861386,0.04329004329004329
291154,408,2250,157,811,0.341463414634146,0.06977777777777777
291154,409,21,1,8,0.0,0.047619047619047616
291154,410,33,2,17,0.0,0.06060606060606061
291155,411,1694,62,830,0.462686567164179,0.03659976387249114
291156,412,2917,234,1194,0.479338842975207,0.08021940349674322
291157,413,2692,100,1586,0.475247524752475,0.03714710252600297
291158,414,1294,74,761,0.6125,0.0571870170015456
291159,415,326,19,277,0.95,0.05828220858895705
292001,416,958,33,694,0.743589743589744,0.03444676409185804
292002,417,1146,76,988,0.883720930232558,0.06631762652705062
292003,418,2032,124,1753,0.846774193548387,0.0610236220472441
292004,419,2863,137,2244,0.795918367346939,0.04785190359762487
292005,420,930,86,656,0.711340206185567,0.09247311827956989
292006,421,18,5,14,1.0,0.2777777777777778
292007,422,1621,93,1397,0.848484848484849,0.05737199259716225
292008,423,1080,64,960,0.865671641791045,0.05925925925925926
292009,424,2324,86,836,0.448275862068966,0.03700516351118761
292010,425,1582,99,710,0.451923076923077,0.06257901390644753
292011,426,1859,146,1536,0.695121951219512,0.078536847767617
292012,427,1538,81,1333,0.844444444444444,0.05266579973992198
292013,428,1182,115,935,0.831932773109244,0.09729272419627749
292014,429,1189,97,986,0.821782178217822,0.0815811606391926
292015,430,1955,90,1730,0.91578947368421,0.04603580562659847
292016,431,1292,55,1144,0.836065573770492,0.04256965944272446
292017,432,1158,43,1031,0.895833333333333,0.037132987910189985
292018,433,1096,106,946,0.855855855855856,0.09671532846715329
292019,434,1454,65,1285,0.914285714285714,0.04470426409903714
292020,435,4533,221,3463,0.65531914893617,0.04875358482241341
292021,436,2869,127,2483,0.875912408759124,0.044266294876263504
292022,437,1577,110,1365,0.88135593220339,0.06975269499048826
292023,438,2549,217,2047,0.824561403508772,0.0851314240878776
292024,439,1817,114,1352,0.804878048780488,0.06274078150798018
292025,440,2457,221,1892,0.822510822510823,0.08994708994708994
292026,441,2159,200,1239,0.605911330049261,0.09263547938860583
292027,442,1250,170,812,0.659090909090909,0.136
292028,443,1991,302,1290,0.664596273291925,0.15168257157207435
