CNTYVTD,VTDKEY,AllredD_18P_U.S. Rep 32,MaternowskiD_18P_U.S. Rep 32,ShippD_18P_U.S. Rep 32,MarshallD_18P_U.S. Rep 32,SalernoD_18P_U.S. Rep 32,RodriguezD_18P_U.S. Rep 32,MeierD_18P_U.S. Rep 32,AllredD_18P_U.S. Rep 32_Percentage,MaternowskiD_18P_U.S. Rep 32_Percentage,ShippD_18P_U.S. Rep 32_Percentage,MarshallD_18P_U.S. Rep 32_Percentage,SalernoD_18P_U.S. Rep 32_Percentage,RodriguezD_18P_U.S. Rep 32_Percentage,MeierD_18P_U.S. Rep 32_Percentage
1132047,2264,116,5,46,5,75,14,27,0.4027777777777778,0.017361111111111112,0.1597222222222222,0.017361111111111112,0.2604166666666667,0.04861111111111111,0.09375
1132049,2266,100,4,27,3,48,10,26,0.45871559633027525,0.01834862385321101,0.12385321100917432,0.013761467889908258,0.22018348623853212,0.045871559633027525,0.11926605504587157
1132050,2267,85,5,31,7,42,19,18,0.4106280193236715,0.024154589371980676,0.1497584541062802,0.033816425120772944,0.2028985507246377,0.09178743961352658,0.08695652173913043
1132051,2268,178,6,36,1,48,10,27,0.5816993464052288,0.0196078431372549,0.11764705882352941,0.0032679738562091504,0.1568627450980392,0.032679738562091505,0.08823529411764706
1132052,2269,71,2,20,0,15,11,12,0.5419847328244275,0.015267175572519083,0.15267175572519084,0.0,0.11450381679389313,0.08396946564885496,0.0916030534351145
1132056,2273,72,3,16,3,13,11,12,0.5538461538461539,0.023076923076923078,0.12307692307692308,0.023076923076923078,0.1,0.08461538461538462,0.09230769230769231
1132057,2274,39,1,10,0,9,4,4,0.582089552238806,0.014925373134328358,0.14925373134328357,0.0,0.13432835820895522,0.05970149253731343,0.05970149253731343
1132058,2275,56,3,15,4,21,13,14,0.4444444444444444,0.023809523809523808,0.11904761904761904,0.031746031746031744,0.16666666666666666,0.10317460317460317,0.1111111111111111
1132077,2278,70,6,46,0,23,4,13,0.43209876543209874,0.037037037037037035,0.2839506172839506,0.0,0.1419753086419753,0.024691358024691357,0.08024691358024691
1132080,2280,6,0,2,0,3,4,3,0.3333333333333333,0.0,0.1111111111111111,0.0,0.16666666666666666,0.2222222222222222,0.16666666666666666
