CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
293062,669,40,4,12,0.333333333333333
293063,670,1939,227,682,0.435897435897436
293064,671,413,52,130,0.333333333333333
293065,672,3447,187,950,0.403141361256544
293066,673,1916,241,662,0.371541501976285
293067,674,1551,211,448,0.397379912663755
293068,675,2790,193,1148,0.447368421052632
293069,676,3166,384,915,0.366430260047281
293070,677,2408,335,627,0.26271186440678
293071,678,2613,249,1029,0.426966292134831
293072,679,4341,210,1124,0.304545454545455
293073,680,1567,153,436,0.425149700598802
293074,681,2573,332,600,0.326704545454545
293075,682,3089,290,506,0.258064516129032
293076,683,1317,114,208,0.224137931034483
293077,684,2445,279,489,0.291525423728814
293078,685,2840,259,728,0.3
293079,686,3194,320,699,0.210059171597633
293080,687,1170,118,316,0.347107438016529
293081,688,2249,214,585,0.305164319248826
293082,689,2470,210,778,0.380733944954128
293083,690,1639,142,439,0.342281879194631
293084,691,3482,260,1062,0.344444444444444
293085,692,1270,113,318,0.277310924369748
293086,693,1472,182,333,0.297979797979798
293087,694,1650,94,468,0.371134020618557
293088,695,3876,247,871,0.24812030075188
293089,696,3750,217,863,0.355263157894737
293090,697,3193,246,848,0.29296875
293091,698,827,46,109,0.296296296296296
293092,699,2538,190,332,0.180952380952381
293093,700,2729,175,486,0.195652173913043
293094,701,4360,244,966,0.319066147859922
293095,702,3360,156,1149,0.358381502890173
293096,703,3348,217,779,0.288793103448276
293097,704,25,0,3,0.0
293098,705,1247,131,371,0.313333333333333
293099,706,3497,281,1102,0.400673400673401
293100,707,3495,261,1150,0.361216730038023
293101,708,2676,253,862,0.407692307692308
293102,709,3055,250,652,0.25
293103,710,822,63,278,0.234375
293104,711,2641,260,592,0.302816901408451
293105,712,3515,226,1251,0.363636363636364
293106,713,1685,116,400,0.3671875
293107,714,1213,61,282,0.420289855072464
293108,715,1540,153,334,0.294117647058824
293109,716,3286,268,1551,0.5
293110,717,3078,224,1056,0.334745762711864
293111,718,0,0,0,0.0
