CNTYVTD,VTDKEY,BlewettR_24P_U.S. Rep 32,DayR_24P_U.S. Rep 32,FeriaR_24P_U.S. Rep 32,KhanR_24P_U.S. Rep 32,BlewettR_24P_U.S. Rep 32_Percentage,DayR_24P_U.S. Rep 32_Percentage,FeriaR_24P_U.S. Rep 32_Percentage,KhanR_24P_U.S. Rep 32_Percentage
1132039,2256,188,39,18,9,0.7401574803149606,0.15354330708661418,0.07086614173228346,0.03543307086614173
1132040,2257,174,26,9,9,0.7981651376146789,0.11926605504587157,0.04128440366972477,0.04128440366972477
1132041,2258,244,276,43,27,0.4135593220338983,0.46779661016949153,0.07288135593220339,0.04576271186440678
1132042,2259,154,130,43,28,0.43380281690140843,0.36619718309859156,0.12112676056338029,0.07887323943661972
1132043,2260,110,99,25,25,0.4247104247104247,0.38223938223938225,0.09652509652509653,0.09652509652509653
1132044,2261,59,55,20,7,0.41843971631205673,0.3900709219858156,0.14184397163120568,0.04964539007092199
1132045,2262,92,101,21,15,0.4017467248908297,0.4410480349344978,0.09170305676855896,0.06550218340611354
1132048,2265,90,93,23,11,0.4147465437788018,0.42857142857142855,0.10599078341013825,0.05069124423963134
1132053,2270,38,33,16,9,0.3958333333333333,0.34375,0.16666666666666666,0.09375
1132054,2271,35,29,9,9,0.4268292682926829,0.35365853658536583,0.10975609756097561,0.10975609756097561
1132055,2272,28,40,5,4,0.36363636363636365,0.5194805194805194,0.06493506493506493,0.05194805194805195
1132079,2279,21,20,9,5,0.38181818181818183,0.36363636363636365,0.16363636363636364,0.09090909090909091
1132081,2281,4,2,2,1,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111
1132082,2282,45,20,10,11,0.5232558139534884,0.23255813953488372,0.11627906976744186,0.12790697674418605
1132083,2283,37,18,10,6,0.5211267605633803,0.2535211267605634,0.14084507042253522,0.08450704225352113
1132084,2284,1,5,0,1,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285
1132085,2285,8,2,2,2,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285
1132086,2286,113,32,20,11,0.6420454545454546,0.18181818181818182,0.11363636363636363,0.0625
1132087,2287,107,45,15,8,0.6114285714285714,0.2571428571428571,0.08571428571428572,0.045714285714285714
1132108,2306,40,32,11,1,0.47619047619047616,0.38095238095238093,0.13095238095238096,0.011904761904761904
1132118,2316,8,2,4,0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0
1132119,2317,5,15,2,0,0.22727272727272727,0.6818181818181818,0.09090909090909091,0.0
1132120,2318,46,74,15,6,0.3262411347517731,0.524822695035461,0.10638297872340426,0.0425531914893617
1132121,2319,2,3,1,1,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285
1132122,2320,32,35,8,8,0.3855421686746988,0.42168674698795183,0.0963855421686747,0.0963855421686747
1132123,2321,17,31,2,4,0.3148148148148148,0.5740740740740741,0.037037037037037035,0.07407407407407407
1132124,2322,12,7,5,4,0.42857142857142855,0.25,0.17857142857142858,0.14285714285714285
1132125,2323,14,12,5,6,0.3783783783783784,0.32432432432432434,0.13513513513513514,0.16216216216216217
