CNTYVTD,VTDKEY,CruzR_24P_U.S. Sen,GibsonR_24P_U.S. Sen,LopezR_24P_U.S. Sen
0292158,574,0,0,0
0292159,575,13,0,1
0292160,576,0,1,0
0292161,577,32,3,4
0292162,578,13,0,2
0292163,579,217,25,21
0292164,580,96,12,9
0292165,581,273,17,27
0292166,582,126,12,15
0292167,583,1,1,0
0292168,584,92,10,16
0292169,585,139,19,9
0292170,586,278,29,32
0292171,587,89,10,6
0292172,588,26,0,1
0292173,589,88,5,8
0292174,590,200,28,24
0292175,591,65,6,5
0292176,592,112,7,12
0292177,593,0,0,0
0292178,594,47,5,5
0292179,595,1,0,0
0292180,596,128,14,11
0292180,597,2,0,0
0292181,598,83,10,4
0292181,599,19,2,1
0292181,600,15,2,1
0292181,601,34,3,1
0292181,602,8,1,0
0292181,603,8,1,0
0292181,604,2,0,0
0292182,605,34,4,3
0292182,606,48,6,5
0292182,607,126,13,9
0293001,608,472,31,26
0293002,609,289,17,26
0293003,610,128,14,7
0293004,611,0,0,0
0293005,612,604,55,37
0293006,613,141,18,14
0293007,614,364,28,29
0293008,615,17,3,1
0293009,616,11,0,0
0293010,617,23,3,3
0293011,618,129,18,13
0293012,619,258,16,19
0293013,620,147,17,8
0293014,621,66,2,5
0293015,622,142,10,14
0293016,623,0,0,0
0293017,624,534,30,36
0293018,625,307,51,58
0293019,626,10,3,2
0293020,627,311,74,73
0293021,628,543,66,52
0293022,629,262,39,38
0293023,630,7,0,0
0293024,631,0,0,0
0293025,632,240,48,33
0293026,633,227,42,29
0293027,634,212,33,27
0293028,635,221,11,11
0293029,636,106,13,16
0293030,637,356,30,31
0293031,638,4,0,0
0293032,639,5,0,0
0293033,640,360,32,21
0293034,641,638,44,30
0293035,642,67,9,2
0293036,643,243,18,20
0293037,644,6,0,3
0293038,645,129,18,14
0293039,646,553,32,31
0293040,647,292,26,23
0293041,648,77,5,7
0293042,649,288,23,25
0293043,650,436,26,25
0293044,651,181,15,12
0293045,652,246,25,26
0293046,653,208,45,29
0293047,654,245,40,39
0293048,655,241,34,35
0293049,656,374,58,37
0293050,657,173,15,23
0293051,658,78,5,6
0293052,659,143,12,11
0293053,660,289,37,20
0293054,661,3,0,2
0293055,662,524,42,21
0293056,663,112,7,10
0293057,664,83,9,7
0293058,665,225,16,16
0293059,666,219,9,13
0293060,667,216,26,29
0293061,668,153,19,7
0293062,669,4,0,0
0293063,670,204,17,25
0293064,671,52,7,4
0293065,672,390,25,27
0293066,673,260,23,25
0293067,674,206,22,21
0293068,675,85,11,13
0293069,676,351,44,41
0293070,677,363,42,40
0293071,678,209,20,23
0293072,679,485,35,29
0293073,680,168,28,20
0293074,681,388,46,35
0293075,682,594,57,45
0293076,683,253,21,23
0293077,684,333,42,50
0293078,685,337,43,20
0293079,686,432,57,45
0293080,687,185,27,13
0293081,688,267,36,17
0293082,689,286,20,27
0293083,690,247,31,16
0293084,691,357,45,25
0293085,692,182,16,18
0293086,693,247,33,23
0293087,694,195,16,3
0293088,695,520,57,58
0293089,696,615,32,26
0293090,697,413,40,29
0293091,698,194,15,7
0293092,699,517,53,29
0293093,700,367,29,33
0293094,701,536,39,38
0293095,702,165,7,10
0293096,703,426,44,37
0293097,704,14,1,0
0293098,705,174,13,14
0293099,706,358,29,46
0293100,707,266,21,29
0293101,708,338,36,28
0293102,709,400,33,38
0293103,710,52,4,3
0293104,711,433,55,38
0293105,712,316,34,23
0293106,713,288,24,20
0293107,714,231,17,8
0293108,715,290,28,14
0293109,716,185,16,19
0293110,717,310,18,18
0293111,718,0,0,0
0293112,719,93,12,13
0293113,720,50,4,2
0293114,721,446,47,36
0293115,722,314,44,35
0293116,723,210,24,10
0293117,724,514,48,42
0293118,725,137,12,16
0293119,726,310,27,16
0293120,727,344,31,16
0293121,728,357,37,23
0293122,729,296,29,25
0293123,730,120,6,7
0293124,731,649,50,44
0293125,732,475,52,49
0293126,733,259,28,24
0293127,734,252,40,28
0293128,735,9,1,0
0293129,736,202,18,23
0293130,737,320,34,27
0293131,738,0,0,0
0293132,739,54,8,6
0293133,740,0,0,0
0293134,741,116,17,9
0293135,742,74,9,10
0293136,743,48,5,5
0293137,744,316,24,23
0293138,745,12,1,0
0293139,746,163,7,12
0293139,747,10,0,0
0293139,748,15,1,1
0293140,749,0,0,0
0293141,750,1,0,0
0293142,751,11,2,1
0293143,752,144,10,10
0293144,753,87,13,9
0293145,754,457,50,23
0293146,755,235,33,31
0293147,756,3,1,0
0293148,757,186,22,25
0293149,758,23,1,4
0293150,759,0,1,0
0293151,760,366,27,41
0293152,761,109,8,8
0293153,762,217,22,7
0293154,763,304,41,29
0293155,764,350,25,22
0293156,765,0,0,0
0293157,766,379,37,37
0293158,767,11,1,0
0293159,768,151,18,14
0293160,769,181,12,10
0293161,770,178,12,12
0293162,771,207,23,15
0293163,772,330,32,29
0293164,773,301,24,14
0293165,774,513,46,49
0293166,775,58,2,3
0293167,776,0,0,0
0293168,777,47,12,2
0293169,778,26,0,3
0293170,779,0,0,0
0293171,780,0,0,0
0293172,781,44,3,6
0293173,782,388,29,30
0293174,783,685,57,54
0293175,784,69,4,7
0293176,785,14,1,2
0293177,786,0,0,0
0293178,787,0,0,0
0293179,788,0,0,0
0293180,789,125,14,10
0293181,790,411,47,25
0293182,791,110,15,3
0293183,792,5,1,0
0293184,793,19,5,1
0293185,794,25,3,1
0293186,795,4,0,0
0293187,796,0,0,0
0293188,797,0,0,0
0293189,798,86,16,18
0293190,799,29,5,1
0293191,800,30,2,3
0293192,801,0,0,0
0293193,802,21,5,3
0293194,803,529,45,35
0293195,804,73,15,8
0293196,805,1,0,0
0293197,806,0,0,0
0293198,807,65,9,8
0293199,808,324,38,27
0293200,809,0,0,0
0293201,810,721,49,37
0293202,811,114,11,3
0293203,812,89,6,7
0293204,813,0,0,0
0293205,814,0,0,0
0294001,815,114,14,22
0294002,816,22,2,3
0294003,817,15,3,7
0294004,818,30,7,10
0294005,819,38,6,12
0294006,820,12,3,4
0294007,821,47,5,0
0294008,822,55,7,7
0294009,823,23,2,2
0294010,824,21,6,4
0294011,825,9,4,3
0294012,826,11,0,2
0294013,827,32,3,3
0294014,828,13,3,0
0294015,829,43,11,10
0294016,830,75,8,11
0294017,831,57,15,19
0294018,832,56,9,20
0294019,833,100,11,2
0294020,834,28,2,2
0294021,835,78,7,6
0294022,836,5,0,1
0294023,837,160,13,8
0294024,838,114,11,7
0294025,839,54,5,3
0294026,840,96,12,7
0294027,841,63,4,11
0294028,842,80,9,5
0294029,843,50,1,3
0294030,844,2,0,0
0294031,845,49,2,9
0294032,846,74,3,2
0294033,847,170,16,11
0294034,848,95,6,6
0294035,849,2,0,0
0294036,850,59,7,8
0294037,851,23,2,2
0294038,852,162,30,26
0294039,853,14,0,0
0294040,854,22,3,0
0294041,855,28,1,1
0294042,856,12,0,4
0294043,857,141,12,13
0294044,858,70,6,8
0294045,859,151,10,17
0294046,860,376,43,35
0294047,861,118,12,9
0294048,862,59,2,4
0294049,863,93,3,2
0294050,864,161,15,14
0294051,865,233,21,13
0294052,866,201,18,14
0294053,867,115,13,9
0294054,868,307,20,12
0294055,869,138,12,8
0294056,870,265,21,15
0294057,871,295,22,17
0294058,872,187,11,7
0294059,873,135,10,7
0294060,874,103,20,11
0294061,875,62,7,3
0294062,876,31,4,0
0294063,877,43,1,2
0294064,878,189,11,10
0294065,879,42,6,8
0294066,880,154,5,8
0294067,881,133,12,9
0294068,882,57,3,6
0294069,883,155,7,6
0294070,884,119,5,10
0294071,885,359,20,10
0294072,886,476,24,16
0294073,887,113,7,11
0294074,888,178,8,7
0294075,889,16,1,1
0294076,890,116,11,7
0294077,891,191,16,17
0294078,892,193,11,4
0294079,893,150,8,11
0294080,894,103,6,6
0294081,895,12,0,2
0294082,896,36,1,0
0294083,897,34,1,4
0294084,898,28,4,8
0294085,899,6,3,0
0294086,900,50,1,4
0294087,901,182,27,18
0294088,902,192,20,8
0294089,903,202,10,15
0294090,904,159,16,5
0294091,905,52,7,2
0294092,906,167,15,22
0294093,907,158,16,10
0294094,908,144,6,8
0294095,909,146,10,15
0294096,910,116,12,3
0294097,911,143,5,4
0294098,912,100,6,13
0294099,913,70,4,5
0294100,914,52,4,6
0294101,915,112,6,7
0294102,916,32,3,4
0294103,917,0,0,0
0294104,918,137,9,5
0294105,919,111,9,10
0294106,920,15,0,1
0294107,921,134,12,3
0294108,922,240,22,13
0294109,923,76,8,7
0294110,924,38,8,8
0294111,925,0,0,0
0294112,926,131,13,18
0294113,927,24,3,1
0294114,928,1,0,0
0294115,929,25,1,0
0294116,930,7,0,0
0294117,931,65,9,6
0294118,932,12,1,0
0294119,933,14,1,3
0294120,934,11,0,0
0294121,935,16,1,1
0294122,936,3,2,1
0294123,937,9,0,2
0294124,938,64,7,6
0294125,939,1,0,0
0294126,940,189,22,6
0294127,941,0,0,0
0294128,942,15,0,2
0294129,943,19,0,2
0294130,944,50,4,0
0294131,945,11,1,1
0294132,946,130,9,5
0294133,947,2,0,0
0294134,948,0,0,0
0294135,949,0,0,0
0294136,950,216,23,13
0294137,951,21,3,1
0294138,952,0,0,0
0294139,953,0,0,0
0294140,954,0,0,0
0294141,955,11,0,0
0294142,956,8,2,1
0294143,957,85,8,15
0294144,958,77,7,3
0294145,959,0,0,0
0294146,960,1,1,0
0294147,961,16,3,2
0294148,962,12,0,2
0294149,963,16,0,0
0294150,964,112,7,5
0294151,965,94,6,6
0294152,966,84,9,3
0294153,967,23,4,2
0294154,968,40,3,2
0294155,969,73,13,14
0294156,970,55,5,3
0294157,971,53,15,21
0294158,972,17,1,1
0294159,973,0,0,0
0294160,974,58,4,3
0294161,975,6,4,0
0294162,976,135,12,8
0294163,977,91,7,4
0294164,978,244,18,9
0294165,979,10,3,0
0294166,980,17,2,4
0294167,981,5,1,0
0294168,982,94,6,4
0294169,983,33,4,1
0294170,984,25,1,2
0294171,985,110,10,6
0294172,986,97,4,7
0294173,987,142,11,9
0294174,988,77,3,6
0294175,989,0,0,0
0294176,990,129,10,13
0294177,991,0,0,0
0294178,992,0,0,0
0294179,993,255,16,14
0294180,994,0,0,0
0294181,995,0,0,0
0294182,996,0,0,0
0294183,997,3,0,0
0294184,998,0,0,0
0294185,999,0,0,1
0294186,1000,2,2,3
0294187,1001,0,0,0
0294188,1002,0,0,0
0294189,1003,38,2,2
