CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
291152,406,1321,931,604,0.498367791077258
291153,407,1103,843,439,0.392178770949721
291154,408,1847,1375,558,0.348871085214858
291154,409,16,11,5,0.272727272727273
291154,410,26,19,11,0.315789473684211
291155,411,1603,960,789,0.580952380952381
291156,412,2816,1948,1122,0.395757889291257
291157,413,2441,1514,1417,0.575197889182058
291158,414,875,522,536,0.541910331384016
291159,415,346,174,293,0.830409356725146
292001,416,954,365,712,0.757746478873239
292002,417,1245,631,1087,0.891233766233766
292003,418,2161,943,1885,0.857754010695187
292004,419,2984,1403,2368,0.785662563359884
292005,420,921,594,644,0.678510998307953
292006,421,22,11,17,0.833333333333333
292007,422,1726,825,1529,0.868913857677903
292008,423,1117,562,1000,0.88021778584392
292009,424,2358,1236,839,0.40311986863711
292010,425,1608,879,668,0.418872266973533
292011,426,2071,952,1697,0.817391304347826
292012,427,1597,708,1412,0.90014684287812
292013,428,1213,706,979,0.803183791606368
292014,429,1231,682,1007,0.820324005891016
292015,430,1939,853,1726,0.891172914147521
292016,431,1330,563,1195,0.911231884057971
292017,432,1201,478,1092,0.893842887473461
292018,433,1147,739,1004,0.880821917808219
292019,434,1452,653,1308,0.894977168949772
292020,435,4369,2024,3279,0.742110453648915
292021,436,2874,1396,2506,0.867678958785249
292022,437,1606,759,1404,0.895663956639566
292023,438,2766,1481,2213,0.813511611541168
292024,439,1904,1027,1438,0.769383697813121
292025,440,2506,1592,1903,0.769474350854972
292026,441,2208,1491,1245,0.562289562289562
292027,442,1262,894,799,0.641975308641975
292028,443,2107,1464,1320,0.643394934976044
292029,444,1315,557,1140,0.880514705882353
292030,445,1528,714,1370,0.900849858356941
292031,446,1694,724,1447,0.841292134831461
292032,447,538,300,463,0.864864864864865
292033,448,1423,366,768,0.782857142857143
292034,449,1628,396,800,0.590785907859079
292035,450,1391,1004,512,0.365656565656566
292036,451,1562,1278,345,0.214565387627251
292037,452,1552,1124,598,0.370635631154879
292038,453,1261,954,570,0.435814455231931
292039,454,1409,921,968,0.664451827242525
292040,455,2574,1504,1713,0.664654594232059
292041,456,2851,1689,2238,0.803721488595438
292042,457,2204,1087,1826,0.820728291316527
292043,458,1238,581,1059,0.836236933797909
292044,459,2655,1130,2187,0.823529411764706
292045,460,1182,838,671,0.597104945717732
292046,461,1880,1369,1275,0.655449890270666
292047,462,1646,1138,1089,0.652212389380531
292048,463,1809,956,1492,0.824864864864865
292049,464,3082,1752,2265,0.730369515011547
292050,465,1824,1192,1182,0.641240569991618
292051,466,728,417,309,0.379227053140097
292052,467,1023,538,837,0.839122486288848
292053,468,1281,718,928,0.68936170212766
292054,469,2002,1323,1065,0.49
292055,470,1920,1159,339,0.189794091316025
292056,471,1439,853,1081,0.727164887307236
292057,472,2353,1228,1907,0.796157059314954
292058,473,2290,1280,1809,0.754988028731046
292059,474,2360,1298,1666,0.700626959247649
292060,475,1688,1010,1136,0.675350701402806
292061,476,1166,797,493,0.429109159347553
292062,477,1188,824,765,0.638036809815951
292063,478,1918,1574,551,0.29685534591195
292064,479,2379,1565,1512,0.621251629726206
292065,480,1869,1257,879,0.502004811547714
292065,481,113,75,56,0.493333333333333
292066,482,3763,2883,1503,0.4
292067,483,269,181,170,0.6
292068,484,4174,2981,1840,0.447046843177189
292069,485,3153,1973,1805,0.585166240409207
292070,486,2152,971,1891,0.884453781512605
292071,487,904,365,798,0.867036011080332
292072,488,3274,2252,1634,0.505150022391402
292073,489,1258,719,846,0.666204986149584
292074,490,1156,521,1021,0.873015873015873
292075,491,1142,512,942,0.821917808219178
292076,492,2466,1749,1047,0.424626006904488
292077,493,2396,1735,1114,0.470933646506166
292078,494,2680,1670,1599,0.597812879708384
292079,495,717,298,627,0.86986301369863
292080,496,1442,848,985,0.691228070175439
292081,497,904,568,557,0.628366247755835
292082,498,1600,934,1043,0.662624035281147
292083,499,739,549,492,0.659963436928702
292084,500,3413,2567,1093,0.317454119484576
292085,501,1474,889,1035,0.697963800904977
292086,502,3417,2473,1429,0.423123732251521
292087,503,1865,1379,797,0.437908496732026
292088,504,3874,2662,2064,0.531947069943289
292089,505,575,257,510,0.903846153846154
292090,506,2231,1321,1112,0.495719844357977
292091,507,3216,1797,1228,0.388920616790405
292092,508,510,298,225,0.37037037037037
292093,509,1631,1028,691,0.438931297709924
292094,510,145,130,9,0.0681818181818182
292095,511,2463,1729,1120,0.440469208211144
292096,512,2580,1551,982,0.390903098220171
292097,513,2621,1695,1391,0.542645241038319
292098,514,1526,892,995,0.637485970819304
292099,515,1618,1128,613,0.392920353982301
292100,516,1355,835,914,0.677070828331333
292101,517,72,55,24,0.372881355932203
292102,518,2651,1882,1151,0.436021505376344
292103,519,329,144,293,0.897959183673469
292104,520,283,172,219,0.726190476190476
