CNTYVTD,VTDKEY,AllredD_20G_U.S. Rep 32,CollinsR_20G_U.S. Rep 32,Mowrey PetersonL_20G_U.S. Rep 32,SigmonI_20G_U.S. Rep 32,AllredD_20G_U.S. Rep 32_Percentage,CollinsR_20G_U.S. Rep 32_Percentage,Mowrey PetersonL_20G_U.S. Rep 32_Percentage,SigmonI_20G_U.S. Rep 32_Percentage
1131741,2211,1789,1411,48,40,0.5440997566909975,0.42913625304136255,0.014598540145985401,0.012165450121654502
1131742,2212,1869,1088,46,30,0.6162215628090999,0.358720738542697,0.015166501813386087,0.009891196834817012
1131743,2213,1601,1141,43,29,0.5689410092395167,0.4054726368159204,0.015280739161336177,0.010305614783226724
1131745,2215,932,776,32,25,0.5280453257790368,0.4396600566572238,0.018130311614730877,0.014164305949008499
1131746,2216,672,429,12,13,0.5968028419182948,0.38099467140319715,0.010657193605683837,0.011545293072824156
1131747,2217,1055,859,27,18,0.5385400714650331,0.4384890250127616,0.013782542113323124,0.009188361408882083
1131748,2218,845,497,27,8,0.6136528685548294,0.3609295570079884,0.0196078431372549,0.005809731299927378
1131749,2219,1460,938,44,21,0.5927730410069022,0.3808363784003248,0.017864393016646368,0.008526187576126675
1131750,2220,1027,983,19,20,0.5012201073694486,0.4797462176671547,0.009272816007808687,0.009760858955588092
1131751,2221,1961,1636,71,26,0.530860855441256,0.4428803465078506,0.0192203573362209,0.007038440714672442
1131752,2222,1362,950,32,17,0.576874205844981,0.4023718763235917,0.013553578991952562,0.007200338839474798
1132007,2230,1086,1455,14,5,0.42421875,0.568359375,0.00546875,0.001953125
1132008,2231,534,677,8,0,0.4380639868744873,0.5553732567678425,0.006562756357670222,0.0
1132011,2234,782,935,14,0,0.4517619872905835,0.5401502021952629,0.008087810514153668,0.0
1132016,2236,1158,1545,15,10,0.4244868035190616,0.5663489736070382,0.005498533724340176,0.0036656891495601175
1132017,2237,903,389,45,8,0.6713754646840149,0.2892193308550186,0.03345724907063197,0.005947955390334572
1132018,2238,359,411,8,3,0.45966709346991036,0.5262483994878361,0.010243277848911651,0.0038412291933418692
1132019,2239,671,805,13,4,0.449430676490288,0.5391828533154722,0.008707300736771601,0.0026791694574681848
1132020,2240,1156,816,20,3,0.5794486215538847,0.40902255639097745,0.010025062656641603,0.0015037593984962407
1132021,2241,1194,1800,14,4,0.39641434262948205,0.5976095617529881,0.004648074369189907,0.0013280212483399733
1132022,2242,323,322,7,1,0.4946401225114854,0.49310872894333846,0.010719754977029096,0.0015313935681470138
1132023,2243,544,485,7,6,0.5220729366602687,0.4654510556621881,0.0067178502879078695,0.005758157389635317
1132024,2244,724,670,8,3,0.5153024911032028,0.47686832740213525,0.0056939501779359435,0.002135231316725979
1132025,2245,923,1320,11,5,0.40858787073926517,0.5843293492695883,0.004869411243913236,0.002213368747233289
1132026,2246,876,1604,12,1,0.35138387484957884,0.6434015242679503,0.0048134777376654635,0.00040112314480545525
1132027,2247,525,814,11,4,0.38774002954209746,0.6011816838995568,0.00812407680945347,0.0029542097488921715
1132030,2249,509,1310,9,3,0.27799016930639,0.7154560349535772,0.004915346805024577,0.0016384489350081922
1132031,2250,1788,1055,79,30,0.6056910569105691,0.3573848238482385,0.02676151761517615,0.01016260162601626
1132032,2251,1028,502,33,26,0.6469477658904972,0.315921963499056,0.02076777847702958,0.016362492133417242
1132033,2252,958,698,26,10,0.566193853427896,0.41252955082742315,0.015366430260047281,0.00591016548463357
1132035,2253,856,557,28,6,0.5915687629578438,0.3849343469246717,0.019350380096751902,0.00414651002073255
1132037,2254,474,599,13,5,0.4344637946837763,0.5490375802016498,0.011915673693858845,0.00458295142071494
1132038,2255,1540,1152,22,7,0.5659683939728041,0.42337375964718854,0.00808526277104006,0.0025725836089672913
1132039,2256,1378,953,36,13,0.5789915966386555,0.4004201680672269,0.015126050420168067,0.0054621848739495795
1132040,2257,793,645,16,7,0.5427789185489391,0.4414784394250513,0.010951403148528405,0.004791238877481177
1132042,2259,1407,1046,23,9,0.5661971830985916,0.42092555331991954,0.00925553319919517,0.0036217303822937627
1132043,2260,982,770,21,4,0.5526167698368036,0.4333145751266179,0.011817670230725942,0.0022509848058525606
1132044,2261,428,383,8,3,0.5206812652068127,0.4659367396593674,0.009732360097323601,0.0036496350364963502
1132045,2262,907,660,13,2,0.5733249051833123,0.41719342604298354,0.008217446270543615,0.0012642225031605564
1132046,2263,704,775,17,4,0.4693333333333333,0.5166666666666667,0.011333333333333334,0.0026666666666666666
1132047,2264,941,957,23,10,0.4873122734334542,0.4955981356809943,0.011910926980838944,0.005178663904712584
1132049,2266,684,572,11,7,0.5368916797488226,0.4489795918367347,0.008634222919937205,0.005494505494505495
1132050,2267,659,602,12,13,0.5124416796267496,0.4681181959564541,0.00933125972006221,0.01010886469673406
1132051,2268,976,959,25,10,0.4954314720812183,0.4868020304568528,0.012690355329949238,0.005076142131979695
1132052,2269,464,707,8,4,0.39222316145393066,0.5976331360946746,0.006762468300929839,0.0033812341504649195
1132056,2273,481,640,7,0,0.42641843971631205,0.5673758865248227,0.0062056737588652485,0.0
1132057,2274,203,266,2,1,0.4300847457627119,0.5635593220338984,0.00423728813559322,0.00211864406779661
1132058,2275,497,371,11,9,0.5596846846846847,0.4177927927927928,0.012387387387387387,0.010135135135135136
1132077,2278,514,554,14,3,0.4737327188940092,0.5105990783410138,0.012903225806451613,0.0027649769585253456
1132080,2280,97,56,3,2,0.6139240506329114,0.35443037974683544,0.0189873417721519,0.012658227848101266
1132082,2282,1316,399,51,22,0.7360178970917226,0.2231543624161074,0.028523489932885907,0.012304250559284116
1132083,2283,807,459,26,10,0.619815668202765,0.35253456221198154,0.019969278033794162,0.007680491551459293
1132085,2285,137,55,7,1,0.685,0.275,0.035,0.005
1132086,2286,1506,694,41,9,0.6693333333333333,0.30844444444444447,0.018222222222222223,0.004
1132087,2287,1469,615,36,23,0.6854876341577228,0.2869808679421372,0.01679888007466169,0.010732617825478302
1132090,2288,19,15,1,0,0.5428571428571428,0.42857142857142855,0.02857142857142857,0.0
1132091,2289,329,287,4,3,0.5280898876404494,0.4606741573033708,0.006420545746388443,0.004815409309791332
1132092,2290,0,0,0,0,0.0,0.0,0.0,0.0
1132094,2291,466,212,17,7,0.6638176638176638,0.301994301994302,0.024216524216524215,0.009971509971509971
1132095,2292,0,0,0,0,0.0,0.0,0.0,0.0
1132098,2295,791,488,20,8,0.6052027543993879,0.37337413925019125,0.015302218821729151,0.00612088752869166
1132099,2296,2039,772,32,14,0.7136856842842142,0.2702135106755338,0.0112005600280014,0.004900245012250612
1132101,2299,680,487,19,8,0.5695142378559463,0.40787269681742044,0.015912897822445562,0.006700167504187605
1132102,2300,1886,1433,61,24,0.5540540540540541,0.4209753231492362,0.017920094007050528,0.007050528789659225
1132103,2301,532,144,11,7,0.7665706051873199,0.207492795389049,0.01585014409221902,0.010086455331412104
1132108,2306,295,225,13,3,0.5503731343283582,0.4197761194029851,0.024253731343283583,0.005597014925373134
1132109,2307,0,0,0,0,0.0,0.0,0.0,0.0
1132111,2309,18,6,1,0,0.72,0.24,0.04,0.0
1132112,2310,69,27,2,0,0.7040816326530612,0.2755102040816326,0.02040816326530612,0.0
1132113,2311,0,0,0,0,0.0,0.0,0.0,0.0
1132114,2312,1103,915,17,13,0.53857421875,0.44677734375,0.00830078125,0.00634765625
1132115,2313,107,106,1,1,0.49767441860465117,0.4930232558139535,0.004651162790697674,0.004651162790697674
1132116,2314,62,44,2,1,0.5688073394495413,0.4036697247706422,0.01834862385321101,0.009174311926605505
1132117,2315,0,0,0,0,0.0,0.0,0.0,0.0
1132119,2317,175,154,5,5,0.5162241887905604,0.45427728613569324,0.014749262536873156,0.014749262536873156
1132120,2318,925,456,32,10,0.6500351370344343,0.320449754040759,0.022487702037947997,0.007027406886858749
1132121,2319,559,71,18,10,0.8495440729483282,0.10790273556231003,0.02735562310030395,0.015197568389057751
1132122,2320,694,301,17,8,0.6803921568627451,0.2950980392156863,0.016666666666666666,0.00784313725490196
1132123,2321,773,227,19,8,0.7526777020447907,0.22103213242453748,0.018500486854917234,0.007789678675754625
1132125,2323,1794,193,31,40,0.8717201166180758,0.09378036929057337,0.015063168124392614,0.019436345966958212
1132126,2324,331,134,10,3,0.6924686192468619,0.2803347280334728,0.02092050209205021,0.006276150627615063
1132127,2325,1673,720,36,16,0.6842535787321063,0.294478527607362,0.014723926380368098,0.006543967280163599
1132128,2326,1132,574,26,19,0.6464877213021131,0.327812678469446,0.014848657909765849,0.010850942318675044
1132129,2327,250,89,6,2,0.7204610951008645,0.2564841498559078,0.01729106628242075,0.005763688760806916
1132130,2328,580,199,10,7,0.7286432160804021,0.25,0.01256281407035176,0.008793969849246231
1132131,2329,895,212,23,17,0.7802964254577158,0.18482999128160418,0.02005231037489102,0.014821272885789015
1132132,2330,381,134,9,7,0.7175141242937854,0.2523540489642185,0.01694915254237288,0.013182674199623353
1132133,2331,88,119,1,1,0.42105263157894735,0.569377990430622,0.004784688995215311,0.004784688995215311
1132134,2332,485,221,19,7,0.662568306010929,0.30191256830601093,0.025956284153005466,0.009562841530054645
1132143,2339,196,116,10,2,0.6049382716049383,0.35802469135802467,0.030864197530864196,0.006172839506172839
1132144,2340,689,520,19,6,0.5583468395461912,0.4213938411669368,0.01539708265802269,0.004862236628849271
1132145,2341,1446,891,42,24,0.6017478152309613,0.3707865168539326,0.017478152309612985,0.009987515605493134
1132146,2342,1161,545,45,12,0.6585365853658537,0.3091321610890527,0.025524673851389675,0.006806579693703914
1132147,2343,942,640,19,11,0.5843672456575683,0.3970223325062035,0.011786600496277916,0.006823821339950372
1132148,2344,408,112,13,10,0.7513812154696132,0.20626151012891344,0.02394106813996317,0.01841620626151013
1132150,2346,0,0,0,0,0.0,0.0,0.0,0.0
