CNTYVTD,VTDKEY,DavisR_22P_U.S. Rep 32,DayR_22P_U.S. Rep 32,NamdarR_22P_U.S. Rep 32,OkpaR_22P_U.S. Rep 32,SwadR_22P_U.S. Rep 32,WebbR_22P_U.S. Rep 32,DavisR_22P_U.S. Rep 32_Percentage,DayR_22P_U.S. Rep 32_Percentage,NamdarR_22P_U.S. Rep 32_Percentage,OkpaR_22P_U.S. Rep 32_Percentage,SwadR_22P_U.S. Rep 32_Percentage,WebbR_22P_U.S. Rep 32_Percentage
1131171,2130,32,16,22,7,66,30,0.18497109826589594,0.09248554913294797,0.12716763005780346,0.04046242774566474,0.3815028901734104,0.17341040462427745
1131172,2131,37,14,11,6,84,26,0.20786516853932585,0.07865168539325842,0.06179775280898876,0.033707865168539325,0.47191011235955055,0.14606741573033707
1131173,2132,10,15,23,2,38,18,0.09433962264150944,0.14150943396226415,0.2169811320754717,0.018867924528301886,0.3584905660377358,0.16981132075471697
1131174,2133,27,23,49,8,123,38,0.10074626865671642,0.08582089552238806,0.1828358208955224,0.029850746268656716,0.458955223880597,0.1417910447761194
1131176,2134,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131303,2138,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131307,2141,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1131309,2143,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1131313,2147,1,1,1,0,2,4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444
1131314,2148,14,10,3,2,40,16,0.16470588235294117,0.11764705882352941,0.03529411764705882,0.023529411764705882,0.47058823529411764,0.18823529411764706
1131328,2156,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
1131329,2157,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131401,2158,0,2,2,0,5,2,0.0,0.18181818181818182,0.18181818181818182,0.0,0.45454545454545453,0.18181818181818182
1131402,2159,8,8,8,0,13,19,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.23214285714285715,0.3392857142857143
1131403,2160,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131404,2161,4,2,1,0,5,3,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.3333333333333333,0.2
1131405,2162,0,3,0,0,3,6,0.0,0.25,0.0,0.0,0.25,0.5
1131406,2163,2,2,0,0,5,2,0.18181818181818182,0.18181818181818182,0.0,0.0,0.45454545454545453,0.18181818181818182
1131407,2164,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
1131408,2165,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1131409,2166,5,2,0,0,16,2,0.2,0.08,0.0,0.0,0.64,0.08
1131410,2167,9,5,7,2,28,6,0.15789473684210525,0.08771929824561403,0.12280701754385964,0.03508771929824561,0.49122807017543857,0.10526315789473684
1131411,2168,10,11,9,3,45,18,0.10416666666666667,0.11458333333333333,0.09375,0.03125,0.46875,0.1875
1131412,2169,4,1,3,0,9,9,0.15384615384615385,0.038461538461538464,0.11538461538461539,0.0,0.34615384615384615,0.34615384615384615
1131703,2173,17,14,14,6,65,19,0.1259259259259259,0.1037037037037037,0.1037037037037037,0.044444444444444446,0.48148148148148145,0.14074074074074075
1131704,2174,9,6,5,3,42,6,0.1267605633802817,0.08450704225352113,0.07042253521126761,0.04225352112676056,0.5915492957746479,0.08450704225352113
1131705,2175,20,14,9,7,59,18,0.15748031496062992,0.11023622047244094,0.07086614173228346,0.05511811023622047,0.4645669291338583,0.14173228346456693
