CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
0291122,375,2747,221,976,0.282608695652174
0291122,376,135,12,24,0.25
0291123,377,625,51,400,0.470588235294118
0291124,378,226,9,183,0.5
0291125,379,2187,153,926,0.265822784810127
0291126,380,0,0,0,0.0
0291127,381,621,14,526,0.714285714285714
0291128,382,2028,77,1080,0.346666666666667
0291129,383,3168,225,1119,0.268722466960352
0291130,384,0,0,0,0.0
0291131,385,0,0,0,0.0
0291132,386,546,28,386,0.37037037037037
0291133,387,5,0,1,0.0
0291134,388,0,0,0,0.0
0291135,389,0,0,0,0.0
0291136,390,146,5,96,0.833333333333333
0291137,391,0,0,0,0.0
0291138,392,1113,27,482,0.357142857142857
0291139,393,2044,90,1231,0.443181818181818
0291140,394,1255,49,640,0.354166666666667
0291141,395,2993,124,1307,0.366666666666667
0291142,396,2195,55,1368,0.490909090909091
0291143,397,3752,205,1328,0.22972972972973
0291144,398,2836,724,321,0.0619469026548673
0291145,399,913,92,303,0.163265306122449
0291146,400,173,13,116,0.461538461538462
0291147,401,2711,118,1440,0.411764705882353
0291148,402,970,33,547,0.714285714285714
0291149,403,2198,105,1147,0.485714285714286
0291150,404,2746,119,1251,0.316666666666667
0291151,405,2728,166,1001,0.165680473372781
0291152,406,1624,160,742,0.339506172839506
0291153,407,1672,92,706,0.473684210526316
0291154,408,2124,155,750,0.232258064516129
0291154,409,19,1,7,0.0
0291154,410,30,2,16,0.0
0291155,411,1521,44,729,0.380952380952381
0291156,412,2818,220,1132,0.211711711711712
0291157,413,2341,66,1377,0.585714285714286
0291158,414,1127,46,670,0.408163265306122
0291159,415,319,14,279,0.642857142857143
0292001,416,903,15,673,0.8
0292002,417,1196,29,1029,0.793103448275862
0292003,418,2112,27,1844,0.888888888888889
0292004,419,2882,48,2295,0.8
0292005,420,908,33,641,0.611111111111111
0292006,421,21,0,16,0.0
0292007,422,1668,27,1458,0.892857142857143
0292008,423,1077,19,958,0.85
0292009,424,2316,51,846,0.274509803921569
0292010,425,1599,94,684,0.318681318681319
0292011,426,1881,23,1557,0.88
0292012,427,1515,24,1334,0.863636363636364
0292013,428,1201,34,957,0.823529411764706
0292014,429,1190,35,973,0.648648648648649
0292015,430,1894,21,1685,0.904761904761905
0292016,431,1315,9,1175,0.8
0292017,432,1174,15,1054,0.733333333333333
0292018,433,1120,28,976,0.678571428571429
0292019,434,1438,21,1297,0.952380952380952
0292020,435,4411,57,3333,0.754385964912281
0292021,436,2856,32,2497,0.805555555555556
0292022,437,1573,33,1374,0.9375
0292023,438,2534,69,2040,0.728571428571429
0292024,439,1820,68,1372,0.661764705882353
0292025,440,2446,84,1875,0.636363636363636
0292026,441,2165,126,1239,0.353846153846154
0292027,442,1253,82,814,0.428571428571429
0292028,443,2043,146,1289,0.48993288590604
0292029,444,1245,33,1061,0.9375
0292030,445,1466,22,1306,0.833333333333333
0292031,446,1620,20,1386,0.8
0292032,447,543,11,467,0.909090909090909
0292033,448,1262,13,689,0.75
0292034,449,1477,14,739,0.642857142857143
0292035,450,1329,90,496,0.32967032967033
0292036,451,1547,149,343,0.168918918918919
0292037,452,1535,156,580,0.254658385093168
0292038,453,1209,110,547,0.378378378378378
0292039,454,1337,33,930,0.485714285714286
0292040,455,2553,122,1714,0.580645161290323
0292041,456,2797,122,2213,0.741666666666667
0292042,457,2158,39,1780,0.775
0292043,458,1222,17,1039,0.941176470588235
0292044,459,2591,68,2128,0.882352941176471
0292045,460,1146,72,640,0.414285714285714
0292046,461,1833,123,1213,0.590163934426229
0292047,462,1638,90,1072,0.50561797752809
0292048,463,1797,39,1477,0.761904761904762
0292049,464,2964,114,2170,0.575
0292050,465,1786,102,1160,0.405660377358491
0292051,466,779,24,326,0.142857142857143
0292052,467,1031,30,845,0.866666666666667
0292053,468,1258,36,907,0.378378378378378
0292054,469,1923,72,1023,0.367647058823529
0292055,470,1645,66,283,0.0735294117647059
0292056,471,1401,62,1053,0.564516129032258
0292057,472,2302,61,1867,0.651515151515151
0292058,473,2245,78,1773,0.5
0292059,474,2267,83,1610,0.49438202247191
0292060,475,1613,72,1113,0.527777777777778
0292061,476,1177,58,523,0.370967741935484
0292062,477,1134,77,742,0.493506493506494
0292063,478,2011,336,589,0.187134502923977
0292064,479,2320,175,1485,0.525714285714286
0292065,480,2171,75,1062,0.294871794871795
0292065,481,132,4,68,0.0
0292066,482,3650,427,1469,0.233256351039261
0292067,483,272,15,170,0.6
0292068,484,4052,388,1827,0.288220551378446
0292069,485,3097,163,1787,0.514792899408284
0292070,486,2064,29,1810,0.785714285714286
0292071,487,881,14,773,1.0
0292072,488,3252,254,1652,0.33984375
0292073,489,1210,54,805,0.388888888888889
0292074,490,1122,17,992,0.789473684210526
0292075,491,1107,17,908,0.470588235294118
0292076,492,2426,209,1025,0.307692307692308
0292077,493,2258,195,1060,0.3
0292078,494,2612,147,1593,0.425675675675676
0292079,495,706,5,617,1.0
0292080,496,1434,66,969,0.5
0292081,497,847,54,521,0.490566037735849
0292082,498,1587,86,1024,0.406593406593407
0292083,499,714,47,461,0.347826086956522
0292084,500,3287,483,1086,0.207739307535642
0292085,501,1396,79,976,0.45679012345679
0292086,502,3413,291,1465,0.357388316151203
0292087,503,1844,235,807,0.333333333333333
0292088,504,3783,263,2016,0.368217054263566
0292089,505,546,5,486,1.0
0292090,506,2207,55,1134,0.425925925925926
0292091,507,2993,106,1175,0.321100917431193
0292092,508,507,26,233,0.321428571428571
0292093,509,1838,78,790,0.354430379746835
0292094,510,151,22,9,0.0
0292095,511,2374,215,1078,0.270531400966184
0292096,512,2416,74,948,0.353658536585366
0292097,513,2496,139,1356,0.36551724137931
0292098,514,1511,76,990,0.453333333333333
0292099,515,1641,167,616,0.257142857142857
0292100,516,1303,59,890,0.5
0292101,517,77,16,31,0.1875
0292102,518,2625,225,1161,0.331858407079646
0292103,519,321,4,286,1.0
0292104,520,272,3,211,0.0
0292105,521,575,9,505,1.0
0292106,522,578,15,328,0.2
0292107,523,3508,169,1653,0.420454545454545
0292108,524,1177,156,423,0.228395061728395
0292109,525,0,0,0,0.0
0292110,526,1021,118,441,0.277310924369748
0292111,527,1234,45,672,0.361702127659574
0292112,528,1791,148,995,0.445161290322581
0292113,529,96,2,47,1.0
0292114,530,2305,106,1358,0.297297297297297
0292115,531,3921,348,1505,0.281842818428184
0292116,532,0,0,0,0.0
0292117,533,655,11,543,0.666666666666667
0292118,534,32,0,26,0.0
0292119,535,310,10,111,0.2
0292120,536,2883,170,1174,0.317919075144509
0292121,537,514,28,331,0.4
0292122,538,1740,51,715,0.392156862745098
0292123,539,2142,171,926,0.313609467455621
0292124,540,615,62,297,0.424242424242424
0292125,541,3628,262,1379,0.285714285714286
0292126,542,1627,77,935,0.409638554216867
0292127,543,2663,232,1249,0.272727272727273
0292128,544,2106,33,1725,0.941176470588235
0292129,545,0,0,0,0.0
0292130,546,2055,161,1006,0.345679012345679
0292131,547,435,18,156,0.375
0292132,548,3,0,0,0.0
0292133,549,356,32,151,0.151515151515152
0292134,550,1509,41,646,0.255813953488372
0292135,551,764,22,444,0.428571428571429
0292136,552,4077,263,1691,0.313953488372093
0292137,553,1198,75,566,0.296296296296296
0292138,554,1074,75,487,0.311688311688312
0292139,555,1908,177,906,0.285714285714286
0292140,556,1888,69,957,0.347826086956522
0292141,557,1364,133,638,0.255639097744361
0292142,558,692,29,356,0.3
0292143,559,2198,173,1014,0.281609195402299
0292144,560,1889,112,986,0.368421052631579
0292145,561,341,39,163,0.307692307692308
0292146,562,98,5,64,0.4
0292147,563,728,49,343,0.282608695652174
0292148,564,3823,152,1465,0.205298013245033
0292149,565,2297,87,829,0.27710843373494
0292150,566,11,0,8,0.0
0292151,567,59,1,34,0.0
0292152,568,613,15,400,0.466666666666667
0292153,569,421,9,184,0.285714285714286
0292154,570,4116,205,1761,0.358851674641148
0292155,571,2,0,0,0.0
0292156,572,1363,57,406,0.214285714285714
0292157,573,0,0,0,0.0
0292158,574,0,0,0,0.0
0292159,575,212,18,92,0.473684210526316
0292160,576,6,2,1,0.5
0292161,577,214,29,61,0.103448275862069
0292162,578,710,21,250,0.227272727272727
0292163,579,2473,232,1044,0.267241379310345
0292164,580,2120,112,779,0.333333333333333
0292165,581,2815,302,1067,0.263157894736842
0292166,582,1697,162,744,0.364779874213836
0292167,583,63,1,32,0.0
0292168,584,1687,109,613,0.222222222222222
0292169,585,1511,139,712,0.260869565217391
0292170,586,3781,286,1344,0.272108843537415
0292171,587,1557,132,649,0.242424242424242
0292172,588,412,23,237,0.391304347826087
0292173,589,1488,108,624,0.216216216216216
0292174,590,2461,241,888,0.237903225806452
0292175,591,1882,69,595,0.257575757575758
0292176,592,1295,103,503,0.273584905660377
0292177,593,0,0,0,0.0
0292178,594,1056,62,692,0.596774193548387
0292179,595,54,2,17,0.0
0292180,596,2821,123,1478,0.471544715447154
0292180,597,56,3,29,0.333333333333333
0292181,598,1171,69,447,0.380281690140845
0292181,599,272,16,105,0.3125
0292181,600,228,13,103,0.428571428571429
0292181,601,453,26,176,0.407407407407407
0292181,602,118,7,52,0.428571428571429
0292181,603,117,7,36,0.285714285714286
0292181,604,36,2,19,0.0
0292182,605,344,28,57,0.214285714285714
0292182,606,499,40,140,0.225
0292182,607,1289,102,555,0.203883495145631
0293001,608,3787,427,882,0.139344262295082
0293002,609,2392,359,718,0.164835164835165
0293003,610,1530,166,606,0.233532934131737
0293004,611,0,0,0,0.0
0293005,612,3607,546,734,0.0954861111111111
0293006,613,1068,151,366,0.165605095541401
0293007,614,3302,325,860,0.210526315789474
0293008,615,97,19,10,0.105263157894737
0293009,616,17,4,1,0.0
0293010,617,695,20,259,0.19047619047619
0293011,618,961,142,280,0.157894736842105
0293012,619,1408,240,287,0.111111111111111
0293013,620,1857,167,712,0.275280898876405
0293014,621,548,56,216,0.189655172413793
0293015,622,1677,155,840,0.298136645962733
0293016,623,0,1,0,0.0
0293017,624,2829,505,387,0.0773694390715667
0293018,625,1770,352,215,0.0653950953678474
0293019,626,279,10,87,0.375
0293020,627,2586,316,352,0.0421686746987952
0293021,628,2344,568,135,0.0182119205298013
0293022,629,1598,228,230,0.0614754098360656
0293023,630,77,15,9,0.117647058823529
0293024,631,0,0,0,0.0
0293025,632,1765,242,187,0.0310077519379845
0293026,633,1470,227,106,0.0362903225806452
0293027,634,1482,217,328,0.105263157894737
0293028,635,2138,213,744,0.251162790697674
0293029,636,1279,127,448,0.244604316546763
0293030,637,2204,423,369,0.11358574610245
0293031,638,25,6,12,0.333333333333333
0293032,639,140,5,44,0.0909090909090909
0293033,640,2217,392,436,0.112412177985948
0293034,641,2648,633,188,0.0374812593703148
0293035,642,810,78,282,0.227848101265823
0293036,643,4301,244,1494,0.250996015936255
0293037,644,0,5,0,0.0
0293038,645,1201,166,494,0.247058823529412
0293039,646,4429,493,1041,0.142857142857143
0293040,647,2112,260,642,0.114695340501792
0293041,648,586,95,175,0.166666666666667
0293042,649,2573,316,538,0.162576687116564
0293043,650,2983,520,616,0.129943502824859
0293044,651,1524,168,387,0.207865168539326
0293045,652,1570,293,290,0.112179487179487
0293046,653,1515,202,288,0.100456621004566
0293047,654,1816,256,273,0.0957854406130268
0293048,655,1659,223,210,0.069672131147541
0293049,656,2113,397,307,0.0625
0293050,657,1118,194,217,0.0976744186046512
0293051,658,369,96,44,0.0851063829787234
0293052,659,1430,168,353,0.123529411764706
0293053,660,2007,301,283,0.0381231671554252
0293054,661,118,4,49,0.25
0293055,662,3520,547,660,0.0790861159929701
0293056,663,2270,114,878,0.324324324324324
0293057,664,595,80,128,0.0689655172413793
0293058,665,3696,227,1356,0.102222222222222
0293059,666,2160,209,644,0.133640552995392
0293060,667,1957,233,641,0.164705882352941
0293061,668,2040,163,783,0.192982456140351
0293062,669,40,4,12,0.0
0293063,670,1939,226,682,0.1375
0293064,671,413,49,130,0.16
